M1,M2,mM1,mM2,F,R,SCI,H,GA,AG,ABC,ABS,AZI,SO,SO_red,Alb,Sigma,redM1,W,WW,HR,Schultz,Gutman,Mostar,Sz,PI,EE,Energy,SpecRad,Balaban_J,target
88.0,104.0,7.027777777777777,3.7777777777777777,234.0,8.024075805453153,8.235265790544702,7.600000000000001,17.22507373073926,18.865048860733747,13.00372080224305,13.64313374082007,139.0625,64.30570284582633,40.43832029648287,18.0,26.0,33.0,505.0,1452.0,52.5468253968254,2017.0,1997.0,159.0,741.0,277.0,41.92708493764573,21.16301284502881,2.430126951567429,1.9820949826086112,1.0
6.0,4.0,2.25,1.0,10.0,1.414213562373095,1.1547005383792517,1.3333333333333333,1.885618083164127,2.1213203435596424,1.4142135623730951,1.1547005383792517,16.0,4.47213595499958,2.0,2.0,2.0,1.0,4.0,5.0,2.5,10.0,6.0,2.0,4.0,2.0,5.356367113217142,2.8284271247461903,1.4142135623730951,1.6329931618554523,1.0
256.0,295.0,16.729166666666664,10.569444444444445,670.0,23.35719560066094,24.28796699770972,22.366666666666664,51.03385889212046,55.254381556046745,38.32667326748857,40.24149466635462,403.09548611111114,186.7650838615057,115.41931615699042,48.0,80.0,93.0,9512.0,54001.0,238.42719755304896,40351.0,42739.0,1911.0,12982.0,2722.0,121.71954172735272,61.76054183166609,2.4402949809750782,1.2769868435902252,1.0
114.0,135.0,8.618055555555555,5.319444444444445,300.0,11.018909728439276,11.211021842144783,10.590476190476192,23.19772503681387,24.894935767280128,17.182853162466042,17.878667584918094,194.36262499999998,82.86067991104561,50.53747497529001,20.0,30.0,41.0,1044.0,3102.0,84.19880952380953,4128.0,4052.0,406.0,1404.0,540.0,55.791937560115315,29.39423593503056,2.5095556431816184,2.3327897693617587,1.0
152.0,180.0,10.090277777777777,6.986111111111111,394.0,14.541172426285495,14.939889268824729,14.11904761904762,31.176607346804747,32.889932340115855,22.622826582553703,23.816822414258322,266.1365,109.9310867436676,66.49469459130962,24.0,34.0,54.0,2599.0,11658.0,117.9316516816517,10702.0,10985.0,580.0,3604.0,943.0,73.79540274207305,38.6109210361095,2.4822488200475714,1.5942813827054911,1.0
180.0,215.0,10.902777777777777,7.486111111111112,482.0,16.348826315353406,17.01141419989186,15.776190476190479,35.82925688257307,38.319062540940074,26.472550383670388,27.96257865369406,298.5569953703704,130.86188147021355,80.71898927045515,32.0,52.0,66.0,3458.0,15775.0,145.5966061716062,14632.0,15449.0,852.0,5135.0,1308.0,85.01011897135935,44.17629667021175,2.515749072703977,1.4389025394039834,1.0
110.0,130.0,6.527777777777778,4.694444444444445,280.0,10.185871848001627,10.629692981544618,9.900000000000002,22.452614717396923,23.596889236294558,16.32047510869343,17.31364742286268,188.3125,79.3343857001485,47.98152406334792,16.0,20.0,39.0,959.0,3348.0,70.83575036075037,4088.0,4342.0,272.0,1373.0,460.0,52.57130750451135,27.34189655919847,2.435873971237169,1.5337949942008169,1.0
166.0,189.0,11.451388888888888,7.347222222222223,430.0,15.780025428031989,16.22990433258969,15.152380952380957,33.75017196694056,36.42571654833376,25.252254200090064,26.300015687286578,267.4709907407408,121.07119406861794,73.9296928864792,32.0,52.0,59.0,3998.0,23152.0,127.06831364799632,16633.0,17281.0,651.0,5456.0,1172.0,80.6969249373243,41.32223763839339,2.3728618281879506,1.3372093457758096,1.0
82.0,96.0,6.166666666666666,3.527777777777778,214.0,7.592224152875016,7.816274734855201,7.233333333333333,16.342876997817385,17.742526510474953,12.2966140210565,12.86331380746564,131.0625,59.73826241617316,36.97275705110279,14.0,22.0,30.0,417.0,1122.0,48.33095238095238,1686.0,1693.0,148.0,710.0,260.0,39.336491119150374,19.94423632730479,2.401756205349234,1.9993039600074594,1.0
20.0,18.0,3.611111111111111,1.5833333333333333,46.0,2.770055610029662,2.5245638646895836,2.5666666666666664,4.654655746264211,5.390681974697982,3.7543135054150953,3.4732672819907515,30.75,14.99460169804673,8.650281539872886,6.0,10.0,6.0,32.0,58.0,9.0,98.0,73.0,14.0,32.0,20.0,12.397923494716462,6.155367074350508,1.9021130325903077,2.6272148478988635,1.0
44.0,46.0,3.7222222222222223,2.333333333333333,104.0,4.787693700234704,4.7888543819998315,4.6,9.651234396021962,10.391883981397134,7.289847411347834,7.34102736408522,70.75,32.06046892117748,18.601126159491542,8.0,12.0,14.0,126.0,287.0,22.083333333333332,482.0,456.0,46.0,189.0,84.0,23.241673814767665,12.066822110680892,2.175327747161075,2.1312821385375686,1.0
164.0,187.0,9.0,7.055555555555556,406.0,15.563683283512807,16.26076849092689,15.16666666666667,34.19399415361873,35.87651613833089,24.996026511712927,26.317314702110224,272.90625,118.3674111114854,70.52034942321907,26.0,32.0,56.0,3922.0,24084.0,119.77108660603244,16892.0,18154.0,558.0,5629.0,1130.0,79.5589327530777,41.52773445963108,2.377287848866242,1.05344959794357,0.0
112.0,126.0,8.979166666666664,4.708333333333333,304.0,10.25983881233692,10.49955630785495,9.633333333333335,21.75904832695482,24.460348322354488,16.94706089074816,17.510893822914536,163.40798611111111,82.81987785187624,52.42902508139744,26.0,52.0,42.0,1168.0,4542.0,73.2843795093795,4674.0,4641.0,286.0,1704.0,492.0,53.6432256050102,26.76605025054251,2.41914795671126,1.789037418030693,1.0
136.0,159.0,8.118055555555555,6.26388888888889,346.0,13.18180041877879,13.598828823207418,12.885714285714286,28.387977004324974,29.65395090379711,20.472996668292648,21.538989095158314,239.98025,98.09876270578926,58.430199489063625,20.0,28.0,47.0,1893.0,7661.0,101.88303085803085,7894.0,8208.0,482.0,2668.0,766.0,66.49365921337358,35.11665443699046,2.481517004649526,1.6243592088876302,1.0
82.0,88.0,6.583333333333332,4.694444444444445,188.0,9.274386907679233,9.246230401842864,9.066666666666666,18.630418869628194,19.39974523889684,13.503978527765705,13.689844946621356,150.765625,58.96620607778689,32.97275705110279,10.0,12.0,25.0,898.0,3638.0,54.36933621933622,3485.0,3365.0,199.0,1054.0,336.0,44.001192748092535,23.64177154769638,2.2373415792595504,2.025042205060294,0.0
122.0,144.0,8.249999999999998,4.972222222222222,320.0,10.952397498181153,11.407804598318814,10.466666666666669,24.087677784281446,26.020951405812145,18.022417955770177,19.034497185028805,193.828125,88.77648841624477,55.217592040847705,22.0,32.0,45.0,1137.0,3784.0,82.86944444444444,4702.0,4828.0,342.0,1649.0,547.0,57.55766799110721,29.257329431588758,2.5029976959378244,1.726623807071681,1.0
126.0,150.0,6.138888888888888,4.944444444444445,322.0,11.203509938206668,11.893983498854867,10.933333333333337,25.449193367154667,26.5980912429937,18.441795452253068,19.76719394258405,212.3125,90.74339867378691,55.10394155822037,18.0,22.0,45.0,1082.0,3453.0,85.69126984126984,4728.0,5148.0,314.0,1973.0,586.0,58.74903198806656,30.595207220434066,2.466518323565711,1.5375649306886063,1.0
88.0,101.0,6.506944444444444,3.638888888888889,240.0,7.982181813234284,8.219383413436574,7.552380952380953,17.134544105074852,19.038787866419042,13.171577943034304,13.692158126876604,135.0913611111111,64.79231918777481,40.74988120182057,18.0,38.0,33.0,522.0,1574.0,52.10357142857143,2116.0,2130.0,150.0,862.0,294.0,41.828711748772186,20.918454139661684,2.400746647285994,1.8978401191867442,1.0
196.0,239.0,14.368055555555552,7.791666666666664,540.0,16.97327009534065,17.62910566422857,16.08571428571429,37.3354981993987,40.92079434489283,28.113839378602172,29.81740148111494,314.8772407407408,143.19969542871561,91.14070201944999,34.0,62.0,76.0,4075.0,19160.0,156.63355810855808,17001.0,17678.0,947.0,5543.0,1417.0,91.01093321881487,45.27781677489416,2.6315278940079634,1.4410611710585137,1.0
78.0,94.0,7.756944444444444,3.7916666666666665,218.0,7.4844348858286285,7.432910225370588,7.023809523809525,15.160738181282667,16.934975212900294,11.566439027493542,11.915177135632684,126.972,57.44956605273881,36.57348493643239,20.0,30.0,30.0,398.0,1005.0,48.42738095238095,1468.0,1334.0,164.0,556.0,234.0,38.10023841393373,18.584289988016202,2.4928537348544024,2.902557340144697,1.0
146.0,180.0,9.33333333333333,5.527777777777777,394.0,12.379917853109724,13.054618859638213,11.83333333333334,27.99411139383934,30.134410491872085,20.758034307658143,22.274893532371017,238.15625,105.94086696108165,66.88759170957908,22.0,34.0,56.0,1484.0,5100.0,104.2965367965368,6298.0,6643.0,394.0,3098.0,782.0,66.52317382773462,33.465822016594636,2.5785233443199873,1.6051864186457285,1.0
126.0,140.0,6.555555555555555,5.944444444444444,296.0,12.809663088089316,13.274811436463361,12.633333333333336,27.62357616914369,28.402149252295136,19.867939558444625,20.718258329623726,222.765625,90.26951339930216,51.46023272796697,14.0,16.0,40.0,2160.0,11064.0,88.14396061454886,9206.0,9802.0,398.0,2963.0,738.0,63.40913310508567,34.234516904612576,2.28174508018609,1.2332978205522798,1.0
122.0,146.0,8.701388888888886,4.569444444444445,342.0,10.276675564742526,10.738122278710486,9.666666666666666,22.79945653272828,25.419106870035176,17.49240721385518,18.520580026955923,184.97048611111111,89.75091092467919,57.85638406300953,24.0,50.0,48.0,968.0,3074.0,79.96071428571429,4001.0,4095.0,275.0,1305.0,464.0,55.789840566806205,26.92386962309303,2.5248598204878165,1.7779876637208964,1.0
124.0,142.0,6.916666666666666,5.75,300.0,12.275188245478668,12.721444691080755,12.06666666666667,26.586589313612485,27.442188697915302,19.07995254821832,20.032684747867684,221.546875,88.90003010133796,51.638378312840274,14.0,16.0,41.0,1680.0,7214.0,88.20149850149849,7091.0,7469.0,379.0,2538.0,684.0,61.37354204710069,33.20526921155567,2.3829409227576663,1.4478148083944091,1.0
88.0,102.0,6.055555555555555,4.194444444444445,218.0,8.736382105218448,8.946411408544868,8.5,18.5738393347173,19.473164879336615,13.49204798394724,14.080280969786877,156.3125,63.357932296856966,37.39354332309537,10.0,14.0,30.0,613.0,1880.0,55.87142857142857,2472.0,2476.0,204.0,779.0,312.0,43.77630934606591,23.169028896957926,2.4012741674655667,1.9223921420541317,1.0
76.0,87.0,5.305555555555555,3.305555555555556,194.0,7.16470379794645,7.394205344927391,6.866666666666667,15.436443388259487,16.62906742441502,11.560997669168538,12.072407202906605,120.90625,55.30180593269419,33.78803875660998,14.0,20.0,27.0,369.0,1016.0,42.90714285714286,1501.0,1515.0,115.0,547.0,213.0,36.90702256541837,19.054178558644136,2.360410848391831,1.8686492970566289,0.0
134.0,158.0,6.6388888888888875,5.444444444444445,338.0,12.203509938206668,12.893983498854867,11.933333333333335,27.449193367154667,28.5980912429937,19.856009014626164,21.18140750495714,228.3125,96.4002529232793,57.93236868296657,18.0,22.0,47.0,1544.0,5998.0,92.16100288600289,6728.0,7310.0,408.0,2736.0,726.0,63.326328327786136,33.26205814620882,2.4851160440020044,1.3532805154141816,1.0
98.0,116.0,5.777777777777778,3.833333333333333,256.0,8.631030293135234,9.091308017391087,8.300000000000002,19.35562697671257,20.711550329053644,14.348984679394848,15.280183679613717,156.296875,71.13822459692324,44.14652422898223,18.0,24.0,36.0,608.0,1898.0,57.658730158730165,2599.0,2763.0,161.0,997.0,331.0,45.709509458059095,23.415142600733926,2.4427487056600747,1.5832735190222742,1.0
94.0,105.0,6.916666666666667,4.194444444444445,238.0,9.041713895658194,9.27481143646336,8.633333333333335,19.221652380497012,20.8662508674329,14.539254708175788,15.06140408013136,144.890625,68.64364800759923,41.90388354186295,20.0,28.0,33.0,773.0,2717.0,58.949747474747475,3093.0,3071.0,195.0,1062.0,349.0,46.2288955000853,23.229782939874237,2.3681185096445008,1.7843231453320978,0.0
128.0,155.0,6.749999999999998,4.916666666666667,334.0,11.131030293135236,11.816052888782677,10.800000000000002,25.355626976712568,26.711550329053644,18.470305022954484,19.850993765956535,214.46875,92.35142803251968,56.8744462903401,18.0,24.0,47.0,1195.0,4319.0,83.26475468975468,5264.0,5785.0,328.0,1982.0,594.0,59.09236340240036,30.26469491693558,2.4739268766750775,1.371899288733,1.0
102.0,115.0,10.229166666666664,4.666666666666666,282.0,9.662921025786908,9.652195568590024,8.952380952380953,19.6552252551235,22.58417037949628,15.580627571297601,15.86060164623544,148.6069861111111,75.87813073412445,48.57173561694727,26.0,52.0,39.0,1002.0,3662.0,68.16132756132757,3789.0,3555.0,263.0,1296.0,414.0,49.869331624287724,24.809959147634043,2.3654947855266615,2.5260700310812196,1.0
74.0,83.0,4.694444444444445,3.3611111111111107,182.0,7.254020195423491,7.485957054463528,7.033333333333335,15.57041798447505,16.474366886035767,11.49204798394724,11.963017403165427,122.140625,53.5537418348989,31.788038756609986,12.0,16.0,25.0,393.0,1170.0,41.94722222222222,1609.0,1635.0,115.0,550.0,213.0,36.68369205801412,19.165170255331365,2.344508156416663,1.7565591649167671,1.0
60.0,66.0,5.694444444444445,2.9722222222222223,152.0,6.109060905280622,6.105350962927559,5.7666666666666675,12.383285203590841,13.701285058155639,9.549067125350073,9.681127307127218,92.28125,44.04187849100661,26.843766846610826,12.0,20.0,21.0,256.0,660.0,33.41904761904762,965.0,899.0,93.0,358.0,150.0,30.527645149644417,15.265781535179675,2.302775637731995,2.3485902721968785,1.0
122.0,140.0,9.118055555555554,5.75,316.0,11.975199522495993,12.17469815563543,11.504761904761907,25.090178451124956,27.007095146457075,18.69911639617766,19.357303337914026,201.148,88.90682900531789,53.97397816774759,24.0,36.0,43.0,1364.0,4426.0,93.0968253968254,5408.0,5330.0,482.0,1760.0,638.0,60.31994826655088,31.294534222528036,2.473336623477335,2.2685782562299774,1.0
104.0,123.0,5.666666666666667,4.527777777777778,260.0,9.792024997884274,10.235265790544702,9.600000000000001,21.626997519385945,22.400947245595994,15.503978527765705,16.47156086556626,184.9375,74.61785973854452,44.33781523309452,12.0,14.0,36.0,772.0,2368.0,67.72738095238095,3240.0,3374.0,236.0,1462.0,438.0,49.989907932120474,26.456725085119757,2.4844894029232387,1.7081761664836057,1.0
124.0,143.0,7.8888888888888875,5.249999999999998,316.0,11.524877143252588,11.985735208391002,11.100000000000003,25.18124417472355,26.90749231975221,18.701015166255306,19.657804142842863,199.671875,89.99688618225818,54.86130087110111,22.0,30.0,44.0,1473.0,6017.0,83.88500111000111,6132.0,6354.0,318.0,1970.0,582.0,59.680966613962134,30.36393380228597,2.3906973227627852,1.4796613443052569,1.0
166.0,200.0,10.583333333333332,6.777777777777777,434.0,14.87991785310972,15.554618859638213,14.333333333333334,32.99411139383934,35.13441049187208,24.293568213590873,25.810427438303748,278.15625,120.08300258481258,73.95865952144456,22.0,34.0,61.0,2914.0,13792.0,123.27826479076481,12405.0,13173.0,589.0,4399.0,1065.0,78.47124932469598,40.12300085315871,2.574143304317439,1.3267854016837177,1.0
48.0,50.0,3.9722222222222223,2.5833333333333335,112.0,5.287693700234705,5.2888543819998315,5.1,10.651234396021962,11.391883981397136,7.996954192534382,8.048134145271767,78.75,34.888896045923666,20.015339721864635,8.0,12.0,15.0,174.0,446.0,25.10238095238095,669.0,637.0,57.0,246.0,104.0,25.521034395943794,13.674401080589623,2.16645452346175,2.046920975581053,1.0
134.0,153.0,8.479166666666666,5.6388888888888875,350.0,12.431671556017463,12.902664986436326,11.952380952380956,27.01331948775448,29.162512223376982,20.242645754899772,21.16816526707169,215.09136111111115,97.7393353395435,59.823143316311686,24.0,44.0,48.0,2061.0,10203.0,91.05725108225108,8670.0,9101.0,340.0,2950.0,711.0,64.37772353899028,33.12454301052334,2.379475959448816,1.311720340235115,1.0
132.0,161.0,6.999999999999998,5.333333333333335,342.0,11.707039898056804,12.365180618161844,11.433333333333335,26.468786046534355,27.564711048174093,18.958632204658674,20.433567299259114,231.71875,94.8816840933643,57.93236868296657,18.0,20.0,48.0,1286.0,4539.0,89.68979076479076,5564.0,5995.0,376.0,2380.0,670.0,61.32138739183396,32.595631483432186,2.494948130413991,1.4597148156867097,1.0
34.0,36.0,2.611111111111111,2.0,76.0,3.931851652578137,3.9189910556895,3.8666666666666667,7.882196732921877,8.122522350258794,5.6568542494923815,5.729567401660267,64.0,24.36643030287652,13.365058181991753,4.0,4.0,10.0,64.0,122.0,15.783333333333333,246.0,234.0,22.0,109.0,50.0,18.479022537159647,10.424292428609817,2.135779205069857,2.1250162554146717,1.0
80.0,90.0,5.555555555555555,3.5277777777777777,202.0,7.647867045540843,7.8803842454634445,7.333333333333335,16.39603518248603,17.670308876734335,12.308544564874966,12.805103960461842,125.515625,58.27026779650287,35.431747586863374,16.0,22.0,28.0,467.0,1435.0,46.33730158730158,1894.0,1906.0,134.0,657.0,244.0,39.17682082644544,19.8829876941458,2.358893444592848,1.7857689903519096,1.0
350.0,453.0,20.312499999999996,12.76388888888889,1010.0,28.220714523448365,29.901211198006568,27.076190476190465,64.68652175911757,69.56907341066687,47.23971454223619,51.50649829791186,592.8047407407408,254.60513455495865,164.51741509085915,68.0,104.0,141.0,11658.0,55265.0,371.1589937839938,50768.0,55090.0,2632.0,20687.0,4010.0,154.50746123880452,77.34387995082939,2.7959087006510104,1.2217610321489472,1.0
110.0,120.0,10.277777777777777,5.555555555555555,276.0,11.328606258093465,11.31319640061689,10.733333333333334,22.916716332534673,25.215691389811564,17.546021317884456,17.80197460456687,171.03125,80.66978784183729,48.91045625148243,24.0,36.0,38.0,1568.0,6784.0,79.50785880785881,5964.0,5638.0,332.0,1982.0,546.0,56.25242233640059,28.60142063174773,2.354497332951737,2.423850040166907,1.0
100.0,119.0,5.416666666666666,4.277777777777778,252.0,9.292024997884274,9.7352657905447,9.1,20.62699751938594,21.40094724559599,14.796871746579157,15.764454084379715,176.9375,71.78943261379835,42.92360167072144,12.0,14.0,35.0,650.0,1864.0,63.58095238095238,2741.0,2869.0,205.0,1290.0,396.0,47.710322602210034,25.123609165268764,2.4843250941886765,1.749968801213409,1.0
144.0,163.0,9.138888888888888,6.500000000000001,356.0,14.024877143252587,14.485735208391002,13.600000000000001,30.181244174723545,31.90749231975221,22.236549072188037,23.1933380487756,239.671875,104.13902180598913,61.932368682966555,22.0,30.0,49.0,2821.0,15011.0,104.63276649820769,11773.0,12259.0,501.0,3339.0,852.0,71.08197781299054,36.6303872184442,2.4096622926226896,1.3124264709869182,1.0
106.0,119.0,7.666666666666665,5.111111111111111,262.0,10.617723500579764,10.823939165842528,10.26666666666667,22.334811450318796,23.71941158655335,16.441795452253075,17.058191175807025,178.140625,76.83075831793624,45.79023305923562,20.0,24.0,36.0,1186.0,4669.0,72.08346375846375,4722.0,4668.0,268.0,1574.0,472.0,53.087312065297155,27.57976755166743,2.3706577342647757,1.7803864659900153,0.0
42.0,44.0,3.111111111111111,2.5,92.0,4.931851652578137,4.918991055689499,4.866666666666666,9.882196732921877,10.122522350258794,7.071067811865477,7.143780964033362,80.0,30.0232845523689,16.19348530673794,4.0,4.0,12.0,133.0,323.0,21.642857142857142,512.0,488.0,44.0,196.0,84.0,23.038420907695823,12.932143397034864,2.1543413091228816,2.017237221657055,1.0
106.0,127.0,6.277777777777777,4.472222222222222,272.0,9.702708600407234,10.143514081008565,9.433333333333335,21.493022923170383,22.555647783975243,15.572928212987001,16.58095066530744,183.703125,76.3659238363398,46.33781523309453,14.0,18.0,38.0,770.0,2383.0,68.22896825396826,3240.0,3390.0,236.0,1442.0,442.0,50.21187216635181,26.50990853401897,2.46003663832632,1.6953707932284123,1.0
354.0,458.0,20.562499999999996,13.097222222222225,1018.0,28.758719325909148,30.42577506269615,27.64285714285713,65.74310129402848,70.49565377022711,47.83743152368156,52.15133845515642,605.4297407407408,257.28447614775405,165.75348306835892,68.0,102.0,142.0,12104.0,57408.0,381.0376845376845,52580.0,56913.0,2730.0,21439.0,4139.0,156.7974118931654,78.75049119180593,2.7984220752928746,1.2334997643557735,1.0
152.0,181.0,8.25,6.527777777777779,382.0,14.185871848001627,14.854437852936208,13.900000000000002,31.45261471739692,32.59688923629455,22.563115795812703,24.00577785276513,270.484375,109.03287050998347,64.95208681182503,16.0,20.0,53.0,2154.0,8368.0,116.50268065268065,9238.0,9882.0,602.0,3518.0,966.0,72.69755643287549,38.70343545483021,2.495616807369665,1.4766683040953787,1.0
180.0,213.0,9.062499999999998,7.055555555555556,470.0,15.986333014323181,16.91112462794526,15.538095238095245,36.041429983271435,38.08784100373609,26.38607860616216,28.14260298767713,298.5449907407408,130.28906704238395,79.73145197414706,30.0,44.0,65.0,3736.0,20279.0,133.07617154087743,16504.0,18209.0,686.0,5342.0,1227.0,84.13725534974004,43.21890494982706,2.486805436289293,1.062318539995521,1.0
128.0,147.0,8.138888888888888,5.499999999999998,324.0,12.024877143252588,12.485735208391004,11.600000000000003,26.181244174723545,27.90749231975221,19.408121947441856,20.36491092402941,207.671875,92.82531330700438,56.2755144334742,22.0,30.0,45.0,1624.0,6667.0,89.26642246642245,6750.0,6986.0,366.0,2365.0,658.0,61.87578485706009,31.647525891574244,2.3816370331784773,1.504245722347477,1.0
118.0,148.0,5.118055555555555,4.694444444444444,312.0,10.36613861721537,11.01883693549105,10.238095238095239,23.70689324753412,24.305810088301435,16.685583176760332,18.11068942228591,217.2105,84.46293026075794,51.17184188147938,12.0,16.0,43.0,810.0,2364.0,76.68055555555556,3524.0,3800.0,260.0,1782.0,512.0,54.316799779734254,28.680186581759774,2.633520900234139,1.634695015563145,1.0
112.0,124.0,5.194444444444445,5.25,260.0,11.398979485566358,11.866563145999496,11.3,24.757550765359255,25.24744871391589,17.677669529663692,18.487548186322915,200.0,80.03616792726831,45.21759204084769,12.0,12.0,35.0,1517.0,7062.0,74.20460927960929,6532.0,7028.0,288.0,2058.0,558.0,56.4290859298505,30.40050883000383,2.2814635579203877,1.2433873717108797,1.0
148.0,181.0,9.423611111111109,5.388888888888888,412.0,12.26987551346899,12.957727538219586,11.652380952380954,27.78577850109681,30.43067184781617,20.92589144844939,22.396631070595433,234.1851111111111,108.16649660793709,69.25050229792377,26.0,50.0,58.0,1538.0,5510.0,103.19704184704185,6544.0,6922.0,394.0,2355.0,700.0,66.88886125423126,32.77610309103219,2.5411369791635314,1.5359734021000002,0.0
156.0,186.0,11.833333333333332,6.666666666666667,412.0,14.239289860616422,14.670934433863934,13.566666666666668,30.782741736319103,33.37039192819081,23.029184565478836,24.224557452247492,254.140625,113.5305503118407,70.70944612470578,26.0,40.0,58.0,2584.0,11470.0,117.65606338106339,10510.0,10633.0,556.0,3714.0,943.0,74.67002737480816,37.41000456574774,2.5744734588973612,1.6205606455966854,1.0
110.0,138.0,5.138888888888889,4.055555555555556,290.0,9.270856947829097,9.949267896710653,9.066666666666668,21.610826190248503,22.433125433716448,15.451607869427358,16.83640691236309,193.875,78.86955121855213,48.52910623720683,10.0,14.0,41.0,586.0,1501.0,66.92857142857143,2603.0,2871.0,199.0,1059.0,387.0,51.160776292800854,25.402767365594997,2.600533025719628,1.679420391003458,1.0
24.0,24.0,1.5,1.5,48.0,3.0,3.0,3.0,6.0,6.0,4.242640687119286,4.242640687119286,48.0,16.970562748477143,8.485281374238571,0.0,0.0,6.0,27.0,42.0,10.0,108.0,108.0,0.0,54.0,24.0,13.696713921428238,8.0,2.0,2.0,1.0
46.0,49.0,4.333333333333334,2.25,116.0,4.681540550352056,4.683281572999747,4.4,9.476851594032944,10.587825972095702,7.399237211089012,7.476007140195091,66.125,33.94856775803526,20.830621427371835,12.0,18.0,16.0,125.0,284.0,22.25,470.0,435.0,44.0,144.0,75.0,23.539879083363118,11.638727098764887,2.2497775113741008,2.1814810149393105,1.0
