,M1,M2,mM1,mM2,F,R,SCI,H,GA,AG,ABC,ABS,AZI,SO,SO_red,Alb,Sigma,redM1,W,WW,HR,Schultz,Gutman,Mostar,Sz,PI,EE,Energy,SpecRad,Balaban_J
redM1,0.9864205512924797,0.9898434268297419,0.817509758403753,0.8782440989866228,0.9994699724490025,0.9329490014326943,0.9417431192697656,0.9151132071056617,0.9491695646793162,0.9721639170392552,0.9682137754874495,0.9721687745399925,0.9306200853662064,0.990448744052455,0.9985860234170439,0.8360568138067436,0.700670195885009,1.0,0.8762942142927033,0.823268792502028,0.9685769942852895,0.8881000448033656,0.893983641544853,0.8914614723022918,0.9043910883191343,0.9390180143197716,0.9671117040343324,0.9370428843282357,0.8300960151461504,0.05037144778153068
W,0.8987513412866758,0.8844049173312108,0.8207263702148184,0.9258425978048018,0.8810154106387075,0.920173117605244,0.9102615355496313,0.9104814726589826,0.9015359068403823,0.9114656907522164,0.9061713325844781,0.9001549206685702,0.8832394446708871,0.899153678579253,0.885956417310574,0.7131844763739383,0.5574858871449465,0.8762942142927033,1.0,0.9932655170662852,0.9557238639444519,0.9970861034015346,0.9884024925552509,0.9855861338148526,0.9636312115630603,0.976993297892613,0.9157770634357368,0.9037885061542625,0.5864531756298708,0.019118407169997898
WW,0.8492961475055301,0.8309560018645811,0.797338212046658,0.8969897087031966,0.8291183337301372,0.8818387853527291,0.8686053937127256,0.8726917839908099,0.856947062714365,0.8665676820153339,0.8613112043274043,0.8530290254431325,0.8358174563087053,0.8499123588134646,0.8350663033285846,0.6804220961680201,0.5314948530857041,0.823268792502028,0.9932655170662852,1.0,0.9179042257418822,0.9871907991266776,0.9755139859969048,0.9705955784674924,0.9412025841966063,0.949298737535977,0.8718206636034002,0.8611614969702742,0.5225090072082572,0.022602042632807837
HR,0.9860701599553338,0.9795381233926561,0.8187149185203901,0.9548697638618913,0.9712011546756137,0.9795253037484299,0.9803397433015422,0.9705788140961381,0.9800184343054555,0.987913247940008,0.98435870068585,0.9843611632954763,0.9664655275044842,0.9853566364786158,0.9743272891436286,0.7599739859481254,0.5912536999647793,0.9685769942852895,0.9557238639444519,0.9179042257418822,1.0,0.9620245191248352,0.9624316081141496,0.9547627637422558,0.9608082763639598,0.9878527123309208,0.9888995566531936,0.9769085249759991,0.7564178207932593,0.011752630979277583
Schultz,0.9101058538122974,0.8997733446609287,0.7955403020745474,0.9194534500371614,0.8917092246899898,0.922592716962547,0.9169388924625251,0.9147119921648932,0.9117018861141283,0.9183964371696642,0.9131081825928483,0.9103156169430433,0.8979867414916157,0.909336373666454,0.8956623511188414,0.7001489644052333,0.540786049118868,0.8881000448033656,0.9970861034015346,0.9871907991266776,0.9620245191248352,1.0,0.9970925421030783,0.9796606169229121,0.9781836738056162,0.9863790545613015,0.9222070506742988,0.9119923451586032,0.5946466482942063,-0.030215020183369495
Gutman,0.9156614032179682,0.9092299069947145,0.7658569717225503,0.9081515704043213,0.8965373561046606,0.919686759199087,0.9181804671716222,0.9137065650700892,0.9163302349982029,0.9196963970426912,0.9144554842473076,0.9148017261905569,0.907262850090843,0.9137158923485112,0.8995049669034191,0.6825341426832794,0.5204941474176701,0.893983641544853,0.9884024925552509,0.9755139859969048,0.9624316081141496,0.9970925421030783,1.0,0.9678445851169383,0.9870262279085144,0.9898697689351744,0.9230410146523428,0.9147425340400215,0.5983544532484816,-0.07657074229538924
Mostar,0.9005253245835453,0.889528476628974,0.8624692214262352,0.9183125334274623,0.8958819746564104,0.9120624655359346,0.90043617159635,0.897172251642763,0.8913762432223797,0.9099412125964705,0.9034951222710854,0.896474772492615,0.8732054068208954,0.9035956035314259,0.8985708022451719,0.7545710941147342,0.6165270984648168,0.8914614723022918,0.9855861338148526,0.9705955784674924,0.9547627637422558,0.9796606169229121,0.9678445851169383,1.0,0.9379786105195239,0.9668210956309533,0.9134827043644448,0.8930991115530534,0.6083886403026013,0.08405119851470212
Sz,0.9231515365566316,0.921110170643065,0.7431118579111115,0.8912018614875176,0.9040774683465781,0.9142766420494182,0.9176892905180795,0.9089097325490916,0.9200820513373869,0.9216731090211115,0.9167596806051779,0.9205913292471343,0.9132789627579694,0.9203434651878203,0.9074264277416662,0.6719288203202909,0.5034311837103576,0.9043910883191343,0.9636312115630603,0.9412025841966063,0.9608082763639598,0.9781836738056162,0.9870262279085144,0.9379786105195239,1.0,0.9895861823590951,0.9232060679558655,0.9163102496878801,0.6161900667238851,-0.11559988710022574
PI,0.9559855121108621,0.952028303130076,0.7935160864532722,0.9295866575089853,0.9404595062811842,0.9497174732788662,0.9505510422116042,0.9420272881842023,0.9508029991463529,0.9564778964078989,0.9514806691026095,0.9530118165873808,0.9413363252070475,0.9545241442902671,0.9431286595751934,0.7215975458458221,0.554834224393857,0.9390180143197716,0.976993297892613,0.949298737535977,0.9878527123309208,0.9863790545613015,0.9898697689351744,0.9668210956309533,0.9895861823590951,1.0,0.9583195813575871,0.94767918462202,0.6696253898420576,-0.05485235209091699
EE,0.9940852597117199,0.9825481797729195,0.7944169434712417,0.9623443069099342,0.971076877266733,0.9933548350883912,0.995783249789482,0.9869095985542283,0.9953823408341451,0.9994408209078474,0.998690593408164,0.99778357176389,0.9778878875650392,0.9923090097877425,0.9762425661681372,0.7516525914014409,0.5752985226829122,0.9671117040343324,0.9157770634357368,0.8718206636034002,0.9888995566531936,0.9222070506742988,0.9230410146523428,0.9134827043644448,0.9232060679558655,0.9583195813575871,1.0,0.9927354264978605,0.8230412813416398,0.042928939253895224
Energy,0.9805706986523163,0.9680093381093243,0.7390242193315759,0.9699899913352916,0.9419679824752336,0.995386987891532,0.9986270387022693,0.996350275947638,0.9980521569074676,0.9897442712510857,0.9897436909206118,0.9902292112330033,0.9889602423594732,0.9748914045762561,0.9478502732804274,0.675963789104437,0.4825205670374496,0.9370428843282357,0.9037885061542625,0.8611614969702742,0.9769085249759991,0.9119923451586032,0.9147425340400215,0.8930991115530534,0.9163102496878801,0.94767918462202,0.9927354264978605,1.0,0.8053180929943173,-0.008737301923730605
SpecRad,0.8368172917273621,0.8247180402931249,0.6051747741339768,0.7121869802329343,0.8325668314059176,0.7935715098453475,0.8085334174236958,0.7815006885435767,0.816585935533005,0.8318424465083543,0.8414358676047298,0.8404868949233864,0.7880273246149444,0.8393979679186299,0.8387663407291004,0.7011641346661187,0.5828021207732841,0.8300960151461504,0.5864531756298708,0.5225090072082572,0.7564178207932593,0.5946466482942063,0.5983544532484816,0.6083886403026013,0.6161900667238851,0.6696253898420576,0.8230412813416398,0.8053180929943173,1.0,0.24871869274744485
Balaban_J,0.01221161775891299,-0.03074905140251675,0.45297154331150913,0.10682195916515719,0.06169422329003307,0.054027312569286,0.01193991218056713,0.013616052183828947,-0.021983983474163034,0.04760091211864374,0.052911979909402475,0.01322651262117407,-0.08913898101212193,0.03572268343622201,0.07063850599018322,0.4185543645534111,0.5084280559160613,0.05037144778153068,0.019118407169997898,0.022602042632807837,0.011752630979277583,-0.030215020183369495,-0.07657074229538924,0.08405119851470212,-0.11559988710022574,-0.05485235209091699,0.042928939253895224,-0.008737301923730605,0.24871869274744485,1.0
