M1,M2,mM1,mM2,F,R,SCI,H,GA,AG,ABC,ABS,AZI,SO,SO_red,Alb,Sigma,redM1,W,WW,HR,Schultz,Gutman,Mostar,Sz,PI,EE,Energy,SpecRad,Balaban_J,dG_hyd
6.0,4.0,2.25,1.0,10.0,1.414213562373095,1.1547005383792517,1.3333333333333333,1.885618083164127,2.1213203435596424,1.4142135623730951,1.1547005383792517,16.0,4.47213595499958,2.0,2.0,2.0,1.0,4.0,5.0,2.5,10.0,6.0,2.0,4.0,2.0,5.356367113217142,2.8284271247461903,1.4142135623730951,1.6329931618554523,-1.96
26.0,26.0,4.472222222222222,1.7777777777777775,66.0,3.1807392125526213,2.9328121551534467,2.9,5.52068115004865,6.545382513077233,4.530369971822941,4.289763862918478,37.515625,19.571092920588203,12.06449510224598,8.0,14.0,9.0,46.0,83.0,12.0,142.0,106.0,24.0,46.0,30.0,14.899966664463378,7.662987915037876,2.0528808400337155,3.1442082073698243,-3.88
34.0,36.0,2.611111111111111,2.0,76.0,3.931851652578137,3.9189910556894993,3.8666666666666667,7.8821967329218765,8.122522350258794,5.6568542494923815,5.729567401660267,64.0,24.366430302876523,13.365058181991753,4.0,4.0,10.0,64.0,122.0,15.783333333333333,246.0,234.0,22.0,109.0,50.0,18.47902253715965,10.424292428609817,2.1357792050698574,2.1250162554146717,-4.33
32.0,31.0,4.361111111111111,2.416666666666667,70.0,4.3080604124904465,4.049127729379167,4.133333333333333,7.7112352811751075,8.31726233425821,5.76624404923356,5.532321001608409,59.375,23.33079754033451,12.714776642118865,6.0,8.0,9.0,108.0,264.0,17.10952380952381,360.0,296.0,38.0,108.0,56.0,19.24650808448647,10.383982834675734,2.015316067192599,2.9548225727898,-2.49
30.0,31.0,2.361111111111111,1.6666666666666665,68.0,3.393846850117352,3.3944271909999157,3.3,6.82561719801098,7.195941990698567,5.059137268047012,5.0847272444157054,51.375,21.68708871008112,12.128990204491961,4.0,6.0,9.0,42.0,71.0,12.916666666666666,163.0,157.0,11.0,78.0,36.0,16.189602380978524,8.720566232730448,2.1010029896154583,2.122917949959366,-2.55
42.0,41.0,5.472222222222222,2.75,98.0,5.163902460147014,4.918991055689499,4.866666666666666,9.480272944275193,10.58662396539655,7.399237211089012,7.143780964033362,66.125,31.024836158635463,17.950844619618653,10.0,16.0,13.0,194.0,549.0,23.37857142857143,666.0,566.0,58.0,194.0,90.0,24.008703830015794,12.133645288114915,2.0478103147828546,3.099620830487699,-4.78
46.0,53.0,1.9722222222222223,2.0277777777777777,110.0,4.466326495188786,4.697102672463695,4.433333333333334,9.919183588453084,10.082482904638631,7.030627697345596,7.4504171638263985,83.390625,32.80698141270619,18.843766846610826,4.0,4.0,15.0,79.0,143.0,20.499999999999996,344.0,373.0,24.0,144.0,66.0,22.580231058358724,12.170708811226714,2.3225959054760796,1.9697731935234029,-1.46
38.0,40.0,2.861111111111111,2.25,84.0,4.431851652578137,4.418991055689499,4.366666666666666,8.882196732921877,9.122522350258794,6.363961030678929,6.436674182846815,72.0,27.194857427622715,14.779271744364848,4.0,4.0,11.0,94.0,203.0,18.68333333333333,361.0,343.0,33.0,148.0,66.0,20.758832560654838,11.384646120352905,2.148961141749637,2.0778607554610558,-2.22
36.0,38.0,3.2222222222222223,1.8333333333333333,88.0,3.787693700234704,3.7888543819998315,3.6,7.6512343960219615,8.391883981397134,5.875633848974738,5.926813801712124,54.75,26.403614671685094,15.77269903474535,8.0,12.0,12.0,62.0,115.0,16.033333333333335,236.0,222.0,12.0,110.0,50.0,18.682503128252915,9.924777216368064,2.170086486626034,2.1923771580194713,-5.85
28.0,26.0,4.5625,1.625,84.0,3.060660171779821,2.8272393461533625,2.6999999999999997,5.285618083164127,6.871320343559642,4.719396554912958,4.42474363902835,31.11111111111111,21.905947934098542,14.576491222541474,12.0,32.0,11.0,46.0,84.0,12.083333333333332,142.0,106.0,24.0,46.0,30.0,15.103441111348037,6.720566232730447,2.1010029896154583,3.154490065368808,2.88
38.0,36.0,5.222222222222222,2.416666666666667,90.0,4.62589765768623,4.394427190999916,4.3,8.423693409364297,9.660043605836323,6.801520229643643,6.4989408067888,53.5,28.345494565840063,16.714776642118863,10.0,18.0,12.0,151.0,412.0,20.07142857142857,514.0,433.0,44.0,151.0,72.0,21.719292807607744,10.987918414869869,2.0000000000000004,2.909471975439737,-6.34
82.0,88.0,8.875,4.75,222.0,8.949747468305834,8.653318010541598,8.466666666666667,17.028090415820632,19.106601717798213,13.045759306553641,13.000214587927115,132.74074074074073,60.99386163970911,37.458947335248844,22.0,46.0,29.0,792.0,2754.0,56.09126984126984,2826.0,2502.0,222.0,792.0,306.0,43.16835181330558,21.412557190118463,2.2882456112707366,4.2713141258633645,-6.1
34.0,35.0,2.611111111111111,1.9166666666666667,76.0,3.893846850117352,3.8944271909999157,3.8,7.82561719801098,8.195941990698568,5.76624404923356,5.7918340256022525,59.375,24.51551583482731,13.543203766865055,4.0,6.0,10.0,61.0,109.0,16.0,238.0,231.0,12.0,88.0,41.0,18.45273659391329,9.994354836679666,2.0911835605776807,2.1659635854873978,-5.48
32.0,36.0,2.9722222222222223,1.6944444444444446,80.0,3.342535255101096,3.327239346153363,3.1999999999999997,6.748222136706315,7.277222888638046,5.018697153527131,5.131850420214898,54.765625,23.28606727592561,13.950844619618655,6.0,8.0,11.0,45.0,81.0,12.5,168.0,152.0,22.0,45.0,32.0,17.79753666350056,8.860594616254167,2.2970087413362537,2.1041818259596177,-4.1
34.0,36.0,2.611111111111111,2.0,76.0,3.931851652578137,3.9189910556894993,3.8666666666666663,7.8821967329218765,8.122522350258794,5.6568542494923815,5.729567401660267,64.0,24.36643030287652,13.36505818199175,4.0,4.0,10.0,64.0,122.0,15.783333333333335,246.0,234.0,22.0,109.0,50.0,18.479022537159643,10.424292428609817,2.135779205069857,2.1250162554146717,-4.1
18.0,16.0,3.0,1.75,34.0,2.914213562373095,2.6547005383792515,2.833333333333333,4.885618083164127,5.121320343559642,3.5355339059327378,3.2760208819388943,40.0,12.95741732923815,6.242640687119285,2.0,2.0,4.0,35.0,70.0,8.7,110.0,85.0,12.0,35.0,20.0,12.194901425440477,6.987918414869869,1.8019377358048385,2.3390923149762908,-3.52
20.0,16.0,4.0625,1.0,68.0,2.0,1.7888543819998317,1.6,3.2,5.0,3.4641016151377544,3.0983866769659336,9.48148148148148,16.492422502470642,12.0,12.0,36.0,9.0,16.0,22.0,7.0,44.0,28.0,12.0,16.0,12.0,10.524391382167263,4.0,2.0,3.0237157840738176,-4.47
32.0,33.0,5.333333333333334,1.8888888888888886,86.0,3.5534180126147956,3.3164965809277263,3.1666666666666665,6.330127018922193,7.773502691896258,5.415816237971963,5.16852706778819,39.65625,24.296669675080466,15.65685424949238,10.0,20.0,12.0,65.0,122.0,15.166666666666666,204.0,155.0,34.0,65.0,42.0,17.392861267529163,8.424292428609817,2.1357792050698574,3.464226847231096,-2.74
10.0,8.0,2.5,1.25,18.0,1.914213562373095,1.6547005383792515,1.833333333333333,2.885618083164127,3.121320343559642,2.121320343559643,1.8618073195657994,24.0,7.3005630797457695,3.414213562373095,2.0,2.0,2.0,10.0,15.0,4.333333333333333,28.0,19.0,4.0,10.0,6.0,7.635733837560585,4.47213595499958,1.6180339887498951,1.9747448713915894,-3.43
16.0,14.0,3.361111111111111,1.3333333333333333,38.0,2.2700556100296625,2.0245638646895836,2.0666666666666664,3.654655746264212,4.390681974697982,3.047206724228547,2.766160500804204,22.75,12.166174573300538,7.23606797749979,6.0,10.0,5.0,18.0,28.0,6.666666666666666,52.0,36.0,10.0,18.0,12.0,10.118119614388574,5.226251859505507,1.8477590650225741,2.5395388613593903,-7.81
36.0,38.0,3.2222222222222223,1.8333333333333333,88.0,3.787693700234704,3.7888543819998315,3.6,7.6512343960219615,8.391883981397134,5.875633848974738,5.926813801712124,54.75,26.403614671685094,15.77269903474535,8.0,12.0,12.0,62.0,115.0,16.03333333333333,236.0,222.0,12.0,110.0,50.0,18.68250312825291,9.92477721636806,2.170086486626033,2.1923771580194713,-0.8
14.0,12.0,2.75,1.5,26.0,2.414213562373095,2.1547005383792515,2.333333333333333,3.885618083164127,4.121320343559642,2.8284271247461903,2.568914100752347,32.0,10.12899020449196,4.82842712474619,2.0,2.0,3.0,20.0,35.0,6.416666666666666,60.0,44.0,8.0,20.0,12.0,9.915316149982342,5.464101615137754,1.7320508075688772,2.19060968716425,0.93
90.0,104.0,6.666666666666666,4.027777777777778,230.0,8.592224152875016,8.8162747348552,8.233333333333334,18.34287699781738,19.742526510474953,13.710827583429596,14.277527369838737,147.0625,65.39511666566554,39.80118417584898,14.0,22.0,32.0,602.0,1799.0,56.35952380952381,2430.0,2439.0,198.0,930.0,330.0,43.8949529549022,22.631394707881988,2.3642303043388697,1.933916352466387,-6.78
50.0,55.0,4.583333333333334,2.5555555555555554,124.0,5.215214055163271,5.210923771927642,4.966666666666667,10.557668005579858,11.505343067457071,8.025463763235798,8.131933968644253,80.90625,36.49692540465645,21.785844453984343,8.0,14.0,17.0,156.0,353.0,26.116666666666664,591.0,553.0,63.0,228.0,104.0,25.75424462903933,13.61969483329289,2.250874594525545,2.320588019062653,-9.29
14.0,12.0,2.75,1.5,26.0,2.414213562373095,2.1547005383792515,2.333333333333333,3.885618083164127,4.121320343559642,2.8284271247461903,2.568914100752347,32.0,10.12899020449196,4.82842712474619,2.0,2.0,3.0,20.0,35.0,6.416666666666666,60.0,44.0,8.0,20.0,12.0,9.915316149982342,5.464101615137754,1.7320508075688772,2.19060968716425,-4.07
54.0,59.0,5.284722222222222,2.3333333333333335,154.0,4.999018565639891,5.008459641508932,4.585714285714285,10.174952310848312,11.997546414099729,8.30271070376823,8.388651282978543,72.3101111111111,40.6106538883697,26.37825031020934,16.0,36.0,21.0,152.0,340.0,26.633333333333333,569.0,525.0,57.0,236.0,104.0,26.181110039096932,12.527340673531743,2.3114763859440934,2.3936150485089414,-5.91
28.0,26.0,4.111111111111111,2.083333333333333,62.0,3.770055610029662,3.5245638646895836,3.5666666666666664,6.654655746264212,7.390681974697982,5.16852706778819,4.887480844363847,46.75,20.65145594753911,11.478708664619075,6.0,10.0,8.0,79.0,185.0,14.1,260.0,211.0,26.0,79.0,42.0,16.95709711618083,8.762572535069646,1.9498558243636472,2.715842761293259,-2.13
38.0,36.0,4.25,3.0,74.0,5.414213562373096,5.154700538379252,5.333333333333333,9.885618083164125,10.121320343559642,7.071067811865477,6.811554787871634,80.0,27.099552952969105,13.313708498984763,2.0,2.0,9.0,220.0,715.0,22.21865079365079,770.0,670.0,50.0,220.0,90.0,23.592827936949178,13.191508225450303,1.9318516525781366,2.6909155266923976,-3.64
24.0,23.0,3.861111111111111,1.9166666666666667,54.0,3.308060412490447,3.0491277293791677,3.1333333333333333,5.7112352811751075,6.317262334258209,4.352030486860464,4.118107439235313,43.375,17.67394329084213,9.886349517372675,6.0,8.0,7.0,50.0,99.0,11.616666666666667,158.0,122.0,22.0,50.0,30.0,14.68711284067275,7.878462024097665,1.9696155060244167,2.8318199660707846,-2.68
30.0,28.0,3.75,2.5,58.0,4.414213562373095,4.1547005383792515,4.333333333333333,7.885618083164127,8.121320343559642,5.6568542494923815,5.397341225498538,64.0,21.442698703476722,10.485281374238571,2.0,2.0,7.0,120.0,330.0,16.460714285714285,408.0,344.0,32.0,120.0,56.0,19.03365733227704,10.627503029350086,1.9021130325903075,2.595082706793886,3.13
16.0,14.0,3.361111111111111,1.3333333333333333,38.0,2.2700556100296625,2.0245638646895836,2.0666666666666664,3.654655746264212,4.390681974697982,3.047206724228547,2.766160500804204,22.75,12.166174573300538,7.23606797749979,6.0,10.0,5.0,18.0,28.0,6.666666666666666,52.0,36.0,10.0,18.0,12.0,10.118119614388574,5.226251859505507,1.8477590650225741,2.5395388613593903,-10.0
30.0,28.0,3.75,2.5,58.0,4.414213562373095,4.1547005383792515,4.333333333333333,7.885618083164127,8.121320343559642,5.6568542494923815,5.397341225498538,64.0,21.442698703476722,10.485281374238571,2.0,2.0,7.0,120.0,330.0,16.460714285714285,408.0,344.0,32.0,120.0,56.0,19.03365733227704,10.627503029350086,1.9021130325903075,2.595082706793886,2.06
56.0,64.0,3.0833333333333335,2.444444444444444,138.0,5.360173345306138,5.591529863463611,5.233333333333334,11.744800786464067,12.2784248953372,8.55423105945987,8.999610502309366,94.765625,40.351934499056355,23.90168923923731,8.0,10.0,19.0,144.0,305.0,27.633333333333333,608.0,638.0,44.0,308.0,118.0,27.268191703185074,14.42692050443618,2.333243827884395,1.9323192636083935,-8.11
42.0,46.0,4.083333333333334,2.0277777777777777,108.0,4.198377302757663,4.197102672463695,3.933333333333333,8.5172597998064,9.546584519776387,6.6516903153825835,6.743310382639851,61.515625,30.980105894226565,19.186912597118443,10.0,16.0,15.0,84.0,160.0,19.53333333333333,315.0,291.0,27.0,144.0,66.0,21.185691438717136,10.792280186226478,2.2458267799378637,2.3462271738277796,-1.12
50.0,55.0,6.944444444444445,3.0,130.0,5.540111220059325,5.2738726007707575,5.133333333333334,10.309311492528423,11.781363949395965,8.094413448457095,7.981810744391588,79.671875,37.060271207958934,22.95741732923815,12.0,20.0,18.0,206.0,501.0,28.742857142857144,692.0,571.0,84.0,206.0,110.0,26.754022924666685,14.19566935808922,2.2469796037174667,3.985164450858579,-23.62
24.0,23.0,3.861111111111111,1.9166666666666667,54.0,3.308060412490447,3.049127729379167,3.133333333333333,5.7112352811751075,6.317262334258209,4.352030486860464,4.118107439235313,43.375,17.67394329084213,9.886349517372675,6.0,8.0,7.0,50.0,99.0,11.616666666666667,158.0,122.0,22.0,50.0,30.0,14.687112840672746,7.878462024097665,1.969615506024416,2.8318199660707846,-2.83
40.0,44.0,3.4722222222222223,2.1944444444444446,96.0,4.342535255101096,4.3272393461533625,4.2,8.748222136706314,9.277222888638045,6.432910715900227,6.546063982587993,70.765625,28.94292152541799,16.779271744364845,6.0,8.0,13.0,86.0,167.0,19.28333333333333,325.0,303.0,33.0,142.0,66.0,20.982204647916745,11.203557775951703,2.221583293952768,2.29725588417896,-4.68
16.0,16.0,1.0,1.0,32.0,2.0,2.0,2.0,4.0,4.0,2.8284271247461903,2.8284271247461903,32.0,11.313708498984761,5.656854249492381,0.0,0.0,4.0,8.0,10.0,5.0,32.0,32.0,0.0,16.0,8.0,9.52439138216726,4.0,2.0,2.0,-5.56
22.0,20.0,3.25,2.0,42.0,3.414213562373095,3.1547005383792515,3.333333333333333,5.885618083164127,6.121320343559642,4.242640687119286,3.9831276631254418,48.0,15.785844453984339,7.65685424949238,2.0,2.0,5.0,56.0,126.0,11.15,182.0,146.0,18.0,56.0,30.0,14.47448672760572,8.054678984251696,1.8477590650225744,2.447472887876344,-3.65
30.0,31.0,2.361111111111111,1.6666666666666665,68.0,3.393846850117352,3.3944271909999157,3.3,6.82561719801098,7.195941990698567,5.059137268047012,5.0847272444157054,51.375,21.68708871008112,12.128990204491961,4.0,6.0,9.0,42.0,71.0,12.916666666666666,163.0,157.0,11.0,78.0,36.0,16.189602380978524,8.720566232730448,2.1010029896154583,2.122917949959366,-5.49
20.0,16.0,4.0625,1.0,68.0,2.0,1.7888543819998317,1.6,3.2,5.0,3.4641016151377544,3.0983866769659336,9.48148148148148,16.492422502470642,12.0,12.0,36.0,9.0,16.0,22.0,7.0,44.0,28.0,12.0,16.0,12.0,10.524391382167263,4.0,2.0,3.0237157840738176,3.12
20.0,19.0,3.611111111111111,1.6666666666666667,46.0,2.808060412490447,2.5491277293791677,2.6333333333333333,4.7112352811751075,5.317262334258209,3.644923705673916,3.4110006580487657,35.375,14.845516166095939,8.47213595499958,6.0,8.0,6.0,31.0,54.0,9.083333333333332,94.0,69.0,16.0,31.0,20.0,12.407305943380177,6.898979485566356,1.9318516525781362,2.7541847860376616,-4.42
36.0,39.0,3.2222222222222223,1.861111111111111,88.0,3.804530452640311,3.802675481463779,3.6333333333333333,7.691642601795419,8.350642529077819,5.835193734454857,5.901223825343432,58.140625,26.26357993262259,15.543203766865055,6.0,10.0,12.0,60.0,106.0,16.166666666666668,228.0,214.0,20.0,106.0,50.0,18.692556642802074,9.953959938490613,2.1935270853310533,2.2794002709583667,-6.2
50.0,57.0,4.583333333333334,2.7222222222222223,124.0,5.291223660084841,5.26005150130681,5.1000000000000005,10.67082707540165,11.358503786577526,7.806684163753442,8.00740072076028,90.15625,36.19875434075486,21.42955328423773,8.0,10.0,17.0,150.0,324.0,26.466666666666665,559.0,513.0,55.0,234.0,104.0,25.775053529229808,13.683238505927562,2.3027756377319966,2.4464306229984385,-6.96
10.0,8.0,2.5,1.25,18.0,1.914213562373095,1.6547005383792515,1.833333333333333,2.885618083164127,3.121320343559642,2.121320343559643,1.8618073195657994,24.0,7.3005630797457695,3.414213562373095,2.0,2.0,2.0,10.0,15.0,4.333333333333333,28.0,19.0,4.0,10.0,6.0,7.635733837560585,4.47213595499958,1.6180339887498951,1.9747448713915894,-0.16
48.0,52.0,4.423611111111111,2.1666666666666665,134.0,4.605171715522539,4.614032450509018,4.285714285714286,9.34933511283733,10.80160442340116,7.4862141228405035,7.546564725682124,68.9351111111111,35.89412792676573,22.73454147995595,12.0,30.0,18.0,114.0,233.0,23.016666666666666,430.0,400.0,50.0,177.0,84.0,23.68820895885118,11.788656935474513,2.288245611270737,2.3892139046437464,-0.25
2.0,1.0,2.0,1.0,2.0,1.0,0.7071067811865475,1.0,1.0,1.0,0.0,0.0,0.0,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0861612696304874,2.0,1.0,1.0,-9.3
30.0,31.0,2.361111111111111,1.6666666666666665,68.0,3.393846850117352,3.3944271909999157,3.3,6.825617198010981,7.195941990698567,5.059137268047012,5.084727244415705,51.375,21.68708871008112,12.128990204491961,4.0,6.0,9.0,42.0,71.0,12.916666666666666,163.0,157.0,11.0,78.0,36.0,16.18960238097852,8.720566232730448,2.1010029896154583,2.1229179499593664,-4.63
58.0,63.0,5.083333333333334,3.166666666666667,140.0,6.257550155273625,6.232409302378915,6.033333333333333,12.590010663854734,13.440986691216157,9.3017779551663,9.472794235870762,99.375,42.13567806837224,24.71697094474451,12.0,14.0,19.0,260.0,680.0,33.07738095238095,975.0,903.0,79.0,380.0,150.0,30.314554176135914,15.470532353366607,2.2834885030097123,2.3296877121380613,-10.22
88.0,105.0,4.666666666666667,3.416666666666667,228.0,7.737183443017883,8.19688082639117,7.500000000000001,17.53000977870159,18.51560833835508,12.825381317280574,13.730990341130752,144.921875,63.59327151057306,39.08860183635575,14.0,18.0,32.0,408.0,1092.0,49.74047619047619,1772.0,1914.0,100.0,914.0,282.0,40.85024204480828,21.132750664982524,2.4447593388997917,1.685750231285684,-3.56
30.0,28.0,3.75,2.5,58.0,4.414213562373095,4.1547005383792515,4.333333333333333,7.885618083164127,8.121320343559642,5.6568542494923815,5.397341225498538,64.0,21.442698703476722,10.485281374238571,2.0,2.0,7.0,120.0,330.0,16.460714285714285,408.0,344.0,32.0,120.0,56.0,19.03365733227704,10.627503029350086,1.9021130325903075,2.595082706793886,-3.65
72.0,81.0,7.347222222222222,2.8611111111111107,220.0,6.227180183450686,6.241886000481983,5.604761904761906,12.739078431448121,15.561967394483005,10.689347444041843,10.824898787876268,93.2608472222222,54.6776583659918,36.75430631779304,22.0,58.0,30.0,273.0,625.0,39.666666666666664,1008.0,916.0,116.0,388.0,176.0,33.691203088767665,15.581952624197534,2.423886072720552,2.797263643481951,1.07
50.0,55.0,4.583333333333334,2.6111111111111116,124.0,5.236382105218448,5.221666537153279,5.0,10.573839334717297,11.473164879336613,7.956514078014501,8.09525732107096,82.140625,36.487874611768156,21.83719413699133,10.0,14.0,17.0,160.0,377.0,25.976190476190478,603.0,561.0,55.0,244.0,104.0,25.754244629039352,13.619694833292892,2.2508745945255453,2.267647076664983,-9.51
46.0,48.0,3.361111111111111,2.75,100.0,5.431851652578137,5.418991055689499,5.366666666666666,10.882196732921877,11.122522350258794,7.778174593052025,7.85088774521991,88.0,32.85171167711509,17.607698869111037,4.0,4.0,13.0,182.0,492.0,24.670238095238094,703.0,673.0,55.0,254.0,104.0,25.318006237256355,13.983360016864593,2.1566393785093454,1.9583131497706439,-0.23
12.0,9.0,3.111111111111111,1.0,30.0,1.7320508075688776,1.5,1.5,2.598076211353316,3.4641016151377553,2.449489742783178,2.121320343559643,10.125,9.486832980505138,6.0,6.0,12.0,4.0,9.0,12.0,4.5,24.0,15.0,6.0,9.0,6.0,7.829154880351855,3.4641016151377544,1.7320508075688772,2.3237900077244498,-0.11
76.0,89.0,5.305555555555555,3.3611111111111116,194.0,7.198377302757664,7.421847543855285,6.933333333333334,15.517259799806403,16.54658451977639,11.480117440128776,12.021227250169222,127.6875,55.02173645456918,33.3290482208494,10.0,16.0,27.0,352.0,922.0,43.71309523809524,1438.0,1460.0,126.0,608.0,228.0,36.84313757645213,19.34552967913548,2.390505841478617,1.9589448939755187,-16.43
10.0,8.0,2.5,1.25,18.0,1.914213562373095,1.6547005383792515,1.833333333333333,2.885618083164127,3.121320343559642,2.121320343559643,1.8618073195657994,24.0,7.3005630797457695,3.414213562373095,2.0,2.0,2.0,10.0,15.0,4.333333333333333,28.0,19.0,4.0,10.0,6.0,7.635733837560585,4.47213595499958,1.6180339887498951,1.9747448713915894,0.56
12.0,9.0,3.111111111111111,1.0,30.0,1.7320508075688776,1.5,1.5,2.598076211353316,3.4641016151377553,2.449489742783178,2.121320343559643,10.125,9.486832980505138,6.0,6.0,12.0,4.0,9.0,12.0,4.5,24.0,15.0,6.0,9.0,6.0,7.829154880351855,3.4641016151377544,1.7320508075688772,2.3237900077244498,-3.2
28.0,26.0,4.111111111111111,2.0833333333333335,62.0,3.770055610029662,3.5245638646895836,3.5666666666666664,6.654655746264211,7.390681974697982,5.16852706778819,4.887480844363847,46.75,20.651455947539105,11.478708664619074,6.0,10.0,8.0,79.0,185.0,14.1,260.0,211.0,26.0,79.0,42.0,16.957097116180837,8.762572535069648,1.9498558243636481,2.7158427612932585,-9.31
30.0,28.0,4.722222222222222,1.9166666666666665,74.0,3.625897657686229,3.3944271909999157,3.3,6.423693409364296,7.6600436058363215,5.387306667270547,5.084727244415705,37.5,22.688640316347684,13.886349517372675,10.0,18.0,10.0,74.0,161.0,14.466666666666665,240.0,191.0,28.0,74.0,42.0,17.160125219727846,8.47213595499958,2.000000000000001,2.9278193611827583,-1.88
106.0,129.0,6.277777777777779,4.527777777777778,272.0,9.736382105218448,10.171156279936458,9.5,21.573839334717295,22.473164879336615,15.49204798394724,16.529770712570055,190.484375,76.0858543582148,45.87882469733395,10.0,14.0,38.0,740.0,2196.0,69.29761904761905,3096.0,3214.0,224.0,1464.0,438.0,50.23462386463471,26.629384380004826,2.524618927554087,1.7831002274875218,-14.21
24.0,22.0,3.861111111111111,1.8333333333333333,54.0,3.270055610029662,3.0245638646895836,3.0666666666666664,5.654655746264211,6.390681974697982,4.461420286601642,4.180374063177299,38.75,17.823028822792917,10.06449510224598,6.0,10.0,7.0,52.0,108.0,11.48333333333333,166.0,130.0,20.0,52.0,30.0,14.677511786966829,7.727406610312546,1.9318516525781368,2.678257743164726,-8.18
32.0,30.0,4.361111111111111,2.3333333333333335,70.0,4.2700556100296625,4.024563864689584,4.066666666666666,7.654655746264211,8.390681974697982,5.875633848974738,5.594587625550395,54.75,23.479883072285293,12.89292222699217,6.0,10.0,9.0,114.0,297.0,16.835714285714285,384.0,320.0,34.0,114.0,56.0,19.236682418687728,10.251661790966027,1.9615705608064613,2.746690906857495,-2.88
