M1,M2,mM1,mM2,F,R,SCI,H,GA,AG,ABC,ABS,AZI,SO,SO_red,Alb,Sigma,redM1,W,WW,HR,Schultz,Gutman,Mostar,Sz,PI,EE,Energy,SpecRad,Balaban_J,logS
82.0,100.0,5.645833333333333,3.7083333333333335,220.0,7.714379275798964,7.908346360681003,7.457142857142857,16.506082435018453,17.544293238202314,12.054766209197734,12.684550540761215,144.22199999999998,59.42552710316922,36.40848477079807,14.0,20.0,30.0,385.0,938.0,49.676190476190484,1552.0,1553.0,170.0,637.0,260.0,39.39926297589432,20.408258605896332,2.4963227585929,2.193559722576164,-2.64
50.0,48.0,5.0,3.75,98.0,6.914213562373096,6.654700538379252,6.833333333333333,12.885618083164125,13.121320343559642,9.192388155425121,8.932875131431278,104.0,35.58483432720767,17.55634918610405,2.0,2.0,12.0,455.0,1820.0,31.52187257187257,1638.0,1469.0,84.0,455.0,156.0,30.431583843957384,17.133544467011255,1.9562952014676116,2.7847655305545773,-7.96
12.0,9.0,3.111111111111111,1.0,30.0,1.7320508075688776,1.5,1.5,2.598076211353316,3.4641016151377553,2.449489742783178,2.121320343559643,10.125,9.486832980505138,6.0,6.0,12.0,4.0,9.0,12.0,4.5,24.0,15.0,6.0,9.0,6.0,7.829154880351855,3.4641016151377544,1.7320508075688772,2.3237900077244498,-1.41
20.0,19.0,3.611111111111111,1.6666666666666667,46.0,2.808060412490447,2.5491277293791677,2.6333333333333333,4.7112352811751075,5.317262334258209,3.644923705673916,3.4110006580487657,35.375,14.845516166095939,8.47213595499958,6.0,8.0,6.0,31.0,54.0,9.083333333333332,94.0,69.0,16.0,31.0,20.0,12.407305943380177,6.898979485566356,1.9318516525781362,2.7541847860376616,-0.47
34.0,36.0,2.611111111111111,2.0,76.0,3.931851652578137,3.9189910556894993,3.8666666666666667,7.8821967329218765,8.122522350258794,5.6568542494923815,5.729567401660267,64.0,24.366430302876523,13.365058181991753,4.0,4.0,10.0,64.0,122.0,15.783333333333333,246.0,234.0,22.0,109.0,50.0,18.47902253715965,10.424292428609817,2.1357792050698574,2.1250162554146717,-1.0
90.0,100.0,8.506944444444443,4.402777777777777,242.0,8.89799590830217,8.86540246423437,8.366666666666669,17.970692699056535,20.161747557154467,13.881676749845951,14.152994121954762,135.88599537037038,66.6368362909807,41.79616307249605,24.0,42.0,33.0,720.0,2276.0,59.33015873015873,2705.0,2517.0,221.0,942.0,336.0,44.875058358871655,21.93847049961279,2.3600877527142203,2.616727737509665,-3.64
44.0,42.0,5.111111111111111,3.0833333333333335,94.0,5.770055610029663,5.5245638646895845,5.566666666666666,10.654655746264213,11.390681974697983,7.996954192534382,7.715907969110039,78.75,31.96516444652387,17.135562914111457,6.0,10.0,12.0,277.0,938.0,25.647619047619045,976.0,855.0,62.0,277.0,110.0,26.07543832569674,13.910305543546947,1.9796428837618656,2.817017140820483,-2.94
88.0,104.0,7.027777777777777,3.7222222222222223,234.0,8.002907755397974,8.224523025319064,7.566666666666667,17.208902401601822,18.897227048854205,13.072670487464347,13.679810388393367,137.828125,64.31475363871463,40.38697061347589,16.0,26.0,33.0,480.0,1296.0,53.44047619047619,1924.0,1914.0,176.0,808.0,294.0,41.84016967906946,21.176593869521334,2.434635959773096,2.0807126025187626,-7.43
92.0,111.0,4.916666666666667,3.7222222222222223,236.0,8.270856947829095,8.724523025319064,8.066666666666666,18.610826190248506,19.433125433716448,13.45160786942736,14.386917169579913,159.703125,66.14162915719426,40.04382486296825,10.0,14.0,33.0,474.0,1274.0,54.457142857142856,2049.0,2206.0,165.0,820.0,303.0,43.23502284989601,22.366029995352456,2.477136716821982,1.730026079643553,-4.593999999999999
52.0,54.0,6.0625,3.375,132.0,6.181980515339465,5.9040092744604245,5.9,11.45685424949238,12.613961030678926,8.644199996836463,8.49167112552628,90.37037037037037,38.389853046846724,22.557900792370617,12.0,24.0,17.0,280.0,780.0,31.321428571428573,964.0,820.0,100.0,280.0,132.0,28.821419214259087,14.737105374645322,2.2428379003362338,3.7641786169425138,-4.11
58.0,62.0,5.083333333333334,3.0833333333333335,140.0,6.219545352812841,6.207845437689332,5.966666666666667,12.53343112894384,13.51440633165593,9.411167754907478,9.535060859812749,94.75,42.28476360032304,24.895116529617816,12.0,16.0,19.0,280.0,815.0,32.468650793650795,1059.0,991.0,67.0,406.0,150.0,30.303804963689338,15.809801647036135,2.2417949731358338,2.1471259748697293,-2.35
110.0,130.0,11.701388888888888,4.944444444444445,314.0,10.055966538104823,10.020898213135228,9.252380952380953,20.52467200915019,23.737668911176378,16.235363694145803,16.67304145022497,165.54448611111115,81.7735310443854,53.34881305868648,26.0,54.0,44.0,914.0,2625.0,79.07619047619048,3362.0,3052.0,310.0,1267.0,456.0,52.63013356433315,24.946602159684378,2.5139270611234217,3.268497826290085,-5.47
26.0,24.0,3.5,2.25,50.0,3.914213562373095,3.6547005383792515,3.833333333333333,6.885618083164127,7.121320343559642,4.949747468305834,4.69023444431199,56.0,18.61427157873053,9.071067811865476,2.0,2.0,6.0,84.0,210.0,13.742857142857144,280.0,231.0,24.0,84.0,42.0,16.754072029940975,9.517540966287266,1.8793852415718166,2.53006045688352,-1.81
70.0,86.0,5.416666666666666,2.8333333333333335,190.0,6.12589765768623,6.343916933783095,5.8,13.423693409364297,14.660043605836321,10.094413448457095,10.690813511168608,113.84375,50.97291156380958,32.271125828222914,10.0,18.0,27.0,211.0,444.0,36.833333333333336,852.0,849.0,72.0,352.0,154.0,32.60418692047152,16.64237804774791,2.4763465753798015,2.185263881314352,-1.39
72.0,85.0,6.895833333333332,3.583333333333333,198.0,7.063714582173599,7.015980447325266,6.671428571428573,14.267982603356234,15.809951149059362,10.811552003384461,11.111922792590411,117.773,52.98230019685221,33.30835690601009,18.0,28.0,27.0,346.0,878.0,43.227380952380955,1281.0,1169.0,137.0,490.0,204.0,35.58625603130331,17.747168217681846,2.4565657625412225,2.7443019579444856,-1.661
90.0,103.0,6.666666666666666,3.9999999999999996,230.0,8.575387400469408,8.802453635391254,8.200000000000001,18.302468792043925,19.78376796279427,13.751267697949478,14.303117346207431,143.671875,65.53515140472804,40.030679443729255,16.0,24.0,32.0,603.0,1820.0,56.394841269841265,2434.0,2443.0,204.0,939.0,330.0,43.88467519109083,22.540936869489276,2.377662309096341,1.94871061715443,-6.9
40.0,39.0,4.861111111111111,2.9166666666666665,86.0,5.3080604124904465,5.049127729379168,5.133333333333334,9.711235281175107,10.31726233425821,7.180457611606656,6.946534563981505,75.375,28.987651789826884,15.543203766865055,6.0,8.0,11.0,206.0,624.0,22.840873015873015,714.0,614.0,54.0,206.0,90.0,23.80545709420292,13.04587945016868,2.0107563043833716,2.894206463174485,-3.17
44.0,48.0,3.7222222222222223,2.5,104.0,4.863703305156274,4.837982111378999,4.733333333333333,9.764393465843753,10.245044700517589,7.071067811865477,7.216494116201248,80.0,31.762297857275893,18.24483498974493,8.0,8.0,14.0,125.0,287.0,22.24285714285714,472.0,440.0,28.0,200.0,84.0,23.261343660490375,12.857278973510137,2.214319743377536,2.173831978453414,-3.75
66.0,68.0,7.875,3.5,190.0,6.828427124746191,6.576548082234536,6.2666666666666675,12.856854249492383,15.363961030678926,10.535169427003233,10.347500663802279,89.48148148148147,50.1668107764533,32.305964890165896,22.0,54.0,25.0,412.0,1241.0,39.45952380952381,1438.0,1242.0,134.0,412.0,182.0,34.00955043012743,16.008147771296887,2.2585400128435755,3.9540199104330354,-4.755
106.0,117.0,7.666666666666666,4.999999999999999,262.0,10.562881945713372,10.785554201689,10.16666666666667,22.237823709634448,23.83407267931244,16.591625366514133,17.146047776117705,170.125,77.11987858894953,46.197873911989205,22.0,28.0,36.0,1221.0,4949.0,71.32476967476968,4938.0,4975.0,284.0,1703.0,494.0,52.981945021280055,27.1609602130283,2.291555173873622,1.697330158155269,-4.805
12.0,9.0,3.111111111111111,1.0,30.0,1.7320508075688776,1.5,1.5,2.598076211353316,3.4641016151377553,2.449489742783178,2.121320343559643,10.125,9.486832980505138,6.0,6.0,12.0,4.0,9.0,12.0,4.5,24.0,15.0,6.0,9.0,6.0,7.829154880351855,3.4641016151377544,1.7320508075688772,2.3237900077244498,-1.64
78.0,95.0,3.555555555555556,3.027777777777778,200.0,6.860173345306138,7.3162747348552015,6.733333333333334,15.744800786464067,16.2784248953372,11.26133784064642,12.156207026279091,136.9375,55.9082836851604,33.80118417584898,8.0,10.0,28.0,267.0,617.0,41.46666666666667,1177.0,1290.0,83.0,499.0,194.0,36.179266565565236,18.912578161456395,2.4918556592645507,1.7857035701437307,-5.22
18.0,16.0,3.0,1.75,34.0,2.914213562373095,2.6547005383792515,2.833333333333333,4.885618083164127,5.121320343559642,3.5355339059327378,3.2760208819388943,40.0,12.95741732923815,6.242640687119285,2.0,2.0,4.0,35.0,70.0,8.7,110.0,85.0,12.0,35.0,20.0,12.194901425440477,6.987918414869869,1.8019377358048385,2.3390923149762908,-0.85
62.0,68.0,2.9722222222222223,3.0,142.0,6.449489742783179,6.683281572999748,6.4,13.878775382679628,14.123724356957947,9.899494936611669,10.304434264941282,112.0,44.26072465075347,24.730116363983505,6.0,6.0,19.0,264.0,715.0,33.69642857142857,1118.0,1182.0,86.0,444.0,170.0,31.6025892465374,17.300563079745768,2.2360679774997894,1.6872141191211394,-3.5039999999999996
74.0,78.0,6.083333333333333,4.027777777777777,172.0,8.198377302757663,8.197102672463696,7.9333333333333345,16.517259799806403,17.54658451977639,12.308544564874966,12.400164632132231,125.515625,53.6075228921961,30.50062109610321,10.0,16.0,23.0,692.0,2782.0,45.649025974025975,2705.0,2631.0,147.0,818.0,266.0,39.42122572642588,21.1796384646214,2.160618147331879,1.8670527264149852,-3.927
96.0,106.0,8.395833333333332,5.013888888888889,246.0,10.020985810590425,9.9847963726984,9.6,20.18548370681901,21.92456411413658,15.146060397957989,15.406637931849298,159.90162037037038,70.2655569645528,42.16559966148165,18.0,34.0,33.0,1022.0,3722.0,66.541341991342,3913.0,3723.0,283.0,1198.0,414.0,49.23028298389325,25.96097869951369,2.320792093625789,2.4568487878685286,-4.15
26.0,24.0,3.5,2.25,50.0,3.914213562373095,3.6547005383792515,3.833333333333333,6.885618083164127,7.121320343559642,4.949747468305834,4.69023444431199,56.0,18.61427157873053,9.071067811865476,2.0,2.0,6.0,84.0,210.0,13.742857142857144,280.0,231.0,24.0,84.0,42.0,16.754072029940975,9.517540966287266,1.8793852415718166,2.53006045688352,-4.81
64.0,72.0,3.5833333333333335,2.9444444444444446,154.0,6.360173345306138,6.591529863463611,6.233333333333333,13.744800786464067,14.2784248953372,9.968444621832965,10.41382406468246,110.765625,46.008788748548746,26.730116363983505,8.0,10.0,21.0,246.0,616.0,34.61904761904762,1028.0,1070.0,88.0,438.0,170.0,31.826435631848142,17.101696701635362,2.305134148858484,1.8326492664211986,-4.88
18.0,16.0,3.0,1.75,34.0,2.914213562373095,2.6547005383792515,2.833333333333333,4.885618083164127,5.121320343559642,3.5355339059327378,3.2760208819388943,40.0,12.95741732923815,6.242640687119285,2.0,2.0,4.0,35.0,70.0,8.7,110.0,85.0,12.0,35.0,20.0,12.194901425440477,6.987918414869869,1.8019377358048385,2.3390923149762908,-0.15
66.0,81.0,4.645833333333334,2.583333333333333,188.0,5.649501019800504,5.861279908946013,5.338095238095239,12.382364520192104,13.688630805499718,9.397338441011366,9.957222254211157,101.773,48.510164241852635,31.308356906010086,16.0,26.0,26.0,175.0,367.0,32.1,712.0,715.0,78.0,317.0,146.0,30.67877876613331,13.819298838850086,2.514638001002625,2.1110498451878317,-1.655
52.0,58.0,5.194444444444445,2.4722222222222223,136.0,5.109060905280622,5.105350962927559,4.766666666666667,10.383285203590841,11.701285058155639,8.134853562976977,8.266913744754124,76.28125,38.38502424151423,24.015339721864635,12.0,20.0,19.0,150.0,327.0,26.599999999999998,559.0,513.0,55.0,236.0,104.0,25.968474572021062,12.675204166065736,2.302775637731995,2.437159260034696,-2.53
20.0,18.0,3.611111111111111,1.5833333333333333,46.0,2.770055610029662,2.5245638646895836,2.5666666666666664,4.654655746264212,5.390681974697982,3.7543135054150945,3.4732672819907515,30.75,14.994601698046727,8.650281539872886,6.0,10.0,6.0,32.0,58.0,9.0,98.0,73.0,14.0,32.0,20.0,12.397923494716455,6.155367074350506,1.9021130325903068,2.6272148478988635,-0.63
28.0,26.0,4.111111111111111,2.0833333333333335,62.0,3.770055610029662,3.5245638646895836,3.5666666666666664,6.654655746264211,7.390681974697982,5.16852706778819,4.887480844363847,46.75,20.651455947539105,11.478708664619074,6.0,10.0,8.0,79.0,185.0,14.1,260.0,211.0,26.0,79.0,42.0,16.957097116180837,8.762572535069648,1.9498558243636481,2.7158427612932585,-1.55
50.0,53.0,4.583333333333334,2.5,124.0,5.181540550352056,5.183281572999748,4.8999999999999995,10.476851594032944,11.587825972095702,8.10634399227556,8.183113921381638,74.125,36.77699488278145,22.24483498974493,12.0,18.0,17.0,166.0,408.0,25.652380952380952,629.0,589.0,53.0,250.0,104.0,25.734574673025893,13.221782261237905,2.2199362207088247,2.1712966618489173,-3.083
76.0,89.0,5.305555555555555,3.3611111111111116,194.0,7.198377302757664,7.421847543855284,6.933333333333334,15.517259799806403,16.54658451977639,11.480117440128774,12.02122725016922,127.6875,55.02173645456917,33.3290482208494,10.0,16.0,27.0,352.0,922.0,43.713095238095235,1438.0,1460.0,126.0,608.0,228.0,36.84313757645213,19.34552967913548,2.390505841478618,1.9589448939755187,-3.127
126.0,151.0,10.861111111111109,5.749999999999999,334.0,11.82780492029403,12.012216725553769,11.233333333333333,24.960545888550378,27.1732479307931,18.677154078618376,19.514710812856613,210.765625,91.74815712710594,57.11489267483374,20.0,32.0,47.0,1280.0,3902.0,96.40595238095239,4978.0,4798.0,454.0,1898.0,638.0,60.77865987105619,30.9015783219854,2.517507902589039,2.4342563268315733,-4.76
62.0,71.0,3.9444444444444446,2.6111111111111107,158.0,5.75402019542349,5.985957054463528,5.533333333333334,12.570417984475048,13.474366886035765,9.370727640387596,9.841697059605782,98.140625,45.06846046066033,27.5453980694907,12.0,16.0,22.0,185.0,416.0,31.533333333333335,768.0,791.0,58.0,383.0,142.0,29.76132990594995,15.1699735669074,2.3582944711822638,1.9441456499040077,-1.94
26.0,24.0,3.5,2.25,50.0,3.914213562373095,3.6547005383792515,3.833333333333333,6.885618083164127,7.121320343559642,4.949747468305834,4.69023444431199,56.0,18.61427157873053,9.071067811865476,2.0,2.0,6.0,84.0,210.0,13.742857142857144,280.0,231.0,24.0,84.0,42.0,16.754072029940975,9.517540966287266,1.8793852415718166,2.53006045688352,-3.66
88.0,107.0,6.506944444444444,3.875,240.0,8.108226125916316,8.30277355168092,7.757142857142858,17.331699633029434,18.74023522890088,12.87126279012546,13.526637098057638,147.59699999999998,64.1420530647732,40.05219360105146,18.0,26.0,33.0,458.0,1172.0,54.40357142857143,1834.0,1822.0,190.0,756.0,294.0,41.89264495235205,21.134138714064793,2.5105329389856643,2.203678968188423,-2.17
102.0,125.0,3.666666666666667,3.8888888888888884,258.0,8.932652990377571,9.61895021631898,8.866666666666667,20.838367176906168,21.164965809277255,14.647041832318099,15.936110508062882,184.953125,72.68503063727786,43.34438794271402,8.0,8.0,36.0,545.0,1513.0,60.72063492063492,2482.0,2819.0,160.0,1301.0,390.0,46.95383629761676,25.192226282032582,2.499045967258843,1.5384259116685186,-8.057
68.0,80.0,7.166666666666666,3.2222222222222228,184.0,6.485269665192933,6.460232508008815,6.033333333333333,13.212323751844071,14.896025042155054,10.244243362718155,10.519157087485446,105.828125,50.07731354033007,31.85033955623032,14.0,24.0,26.0,280.0,664.0,39.226190476190474,1032.0,936.0,108.0,418.0,176.0,33.275077451757554,16.626505361064478,2.4114902359642243,2.7320185758478446,-2.523
94.0,113.0,7.8888888888888875,3.944444444444445,254.0,8.430428110326542,8.646592415246873,7.933333333333334,18.115336011159716,20.010686134914145,13.80828683935231,14.470716992952397,147.984375,68.7512101221936,43.571688907968685,16.0,28.0,36.0,543.0,1450.0,58.90714285714286,2160.0,2131.0,206.0,904.0,330.0,44.353683400036715,22.24100226397843,2.4635014433929068,2.1745740909364892,-8.6
36.0,39.0,3.2222222222222223,1.8611111111111112,88.0,3.804530452640311,3.802675481463779,3.6333333333333333,7.691642601795419,8.350642529077819,5.835193734454857,5.901223825343431,58.140625,26.26357993262259,15.543203766865057,6.0,10.0,12.0,60.0,106.0,16.166666666666664,228.0,214.0,20.0,106.0,50.0,18.69255664280207,9.953959938490609,2.193527085331054,2.2794002709583667,-0.62
38.0,36.0,5.673611111111111,1.9583333333333333,112.0,3.9165022194363885,3.6971026724636946,3.433333333333333,7.054655746264212,9.140681974697982,6.35238971676841,6.036203601453302,37.8611111111111,29.5999865523995,19.812559200041264,16.0,40.0,15.0,98.0,217.0,17.95,320.0,256.0,40.0,98.0,56.0,19.865649034663875,9.059966919001385,2.1357792050698574,3.2807108400137506,-5.05
62.0,73.0,3.9444444444444446,2.6666666666666665,158.0,5.787693700234704,6.013599253391421,5.6000000000000005,12.651234396021962,13.391883981397134,9.289847411347834,9.790517106868396,104.921875,44.78839098253533,27.086407533730114,8.0,12.0,22.0,176.0,370.0,32.0,728.0,747.0,60.0,366.0,142.0,29.781936062895007,15.799892152660124,2.3927562471951087,2.0549101980429936,-4.14
108.0,133.0,4.527777777777778,4.083333333333333,278.0,9.343336592900531,10.027198506782844,9.200000000000001,21.70439258069061,22.319666347656508,15.423098298725943,16.752607088990608,191.71875,77.26152185981933,46.75860150508713,10.0,12.0,39.0,620.0,1729.0,66.16349206349206,2786.0,3120.0,188.0,1460.0,432.0,49.4575246646174,26.027689275187345,2.5199198286177764,1.5745718404958706,-6.57
20.0,18.0,3.611111111111111,1.5833333333333333,46.0,2.770055610029662,2.5245638646895836,2.5666666666666664,4.654655746264211,5.390681974697982,3.7543135054150953,3.4732672819907515,30.75,14.99460169804673,8.650281539872886,6.0,10.0,6.0,32.0,58.0,9.0,98.0,73.0,14.0,32.0,20.0,12.397923494716462,6.155367074350508,1.9021130325903077,2.6272148478988635,-0.19
106.0,129.0,9.611111111111109,4.333333333333333,294.0,9.25179531537246,9.4630889961746,8.6,19.84738681872859,22.320087211672643,15.360399772167998,16.10371015480785,161.515625,77.90419256727657,50.40011603271487,20.0,36.0,42.0,702.0,1921.0,69.85238095238095,2760.0,2689.0,264.0,1152.0,408.0,49.360812952926096,24.38888248621921,2.500877192121709,2.2946960278805695,-9.15
28.0,27.0,4.111111111111111,2.166666666666667,62.0,3.808060412490447,3.549127729379167,3.633333333333333,6.7112352811751075,7.317262334258209,5.059137268047012,4.825214220421861,51.375,20.502370415588317,11.30056307974577,6.0,8.0,8.0,76.0,170.0,14.266666666666667,248.0,199.0,28.0,76.0,42.0,16.9667011599727,9.409260218956907,1.9890437907365472,2.862065598305084,-0.82
168.0,221.0,12.027777777777775,5.819444444444443,518.0,12.96323339420858,13.590765501322583,12.080952380952384,29.249151725568105,33.04854703078446,22.393977759726,24.142213735171342,267.24203240740746,123.98503794541547,83.22461039434975,40.0,76.0,72.0,1670.0,5555.0,122.1433621933622,6968.0,7214.0,486.0,3180.0,868.0,72.88684851176106,35.27529318025627,2.723892353287572,1.7687957566101882,-3.68
36.0,38.0,3.2222222222222223,1.8333333333333333,88.0,3.787693700234704,3.7888543819998315,3.6,7.6512343960219615,8.391883981397134,5.875633848974738,5.926813801712124,54.75,26.403614671685094,15.77269903474535,8.0,12.0,12.0,62.0,115.0,16.03333333333333,236.0,222.0,12.0,110.0,50.0,18.68250312825291,9.92477721636806,2.170086486626033,2.1923771580194713,-0.8
92.0,103.0,6.305555555555555,4.305555555555555,226.0,9.16470379794645,9.394205344927391,8.866666666666667,19.43644338825949,20.62906742441502,14.38942479391473,14.900834327652795,152.90625,66.61551443167895,39.444893006102355,14.0,20.0,31.0,806.0,2941.0,57.8806277056277,3303.0,3375.0,211.0,983.0,349.0,46.02493984503448,24.136928189428943,2.3346602123053213,1.666248122531796,-2.81
142.0,172.0,8.11111111111111,5.638888888888888,370.0,12.558550648063802,13.238122278710486,12.16666666666667,28.26206058627046,29.82500941511358,20.620134937215546,22.05611393288866,240.625,102.44473876549104,62.88759170957908,18.0,26.0,52.0,1705.0,6917.0,99.25742868242868,7394.0,7999.0,408.0,3141.0,786.0,66.07306499059366,34.48410732899771,2.505960583554035,1.3692626443922757,-5.931
68.0,76.0,6.194444444444445,3.694444444444444,168.0,7.20623856025737,7.165221457532364,6.9333333333333345,14.512615602550069,15.522267589155634,10.675551403019513,10.93413097404305,118.765625,49.39151088370912,29.367252484617396,14.0,16.0,23.0,374.0,1022.0,41.57142857142857,1397.0,1289.0,121.0,528.0,204.0,35.10671369853805,18.025135755461253,2.3268462696046543,2.495571918662178,-4.06
40.0,43.0,3.4722222222222223,2.1111111111111107,96.0,4.304530452640311,4.302675481463779,4.133333333333333,8.691642601795419,9.350642529077819,6.542300515641405,6.60833060652998,66.140625,29.09200705736879,16.95741732923815,6.0,10.0,13.0,88.0,176.0,19.15,335.0,315.0,35.0,142.0,66.0,20.971923394025087,11.18995723015805,2.1939932777126576,2.2283621149350434,-0.667
52.0,57.0,7.034722222222221,2.9166666666666665,148.0,5.45854286665106,5.190802378816079,4.985714285714286,10.118647490518901,12.008346725658201,8.203653058054806,8.077958306247314,74.31937037037036,39.23744902204951,25.40224255080033,18.0,34.0,20.0,201.0,476.0,29.099999999999998,672.0,551.0,86.0,201.0,110.0,26.97785707582687,13.398859550303747,2.304293226504654,4.111762459533849,-2.68
70.0,81.0,4.444444444444445,3.166666666666667,174.0,6.787693700234705,7.013599253391422,6.6000000000000005,14.651234396021962,15.391883981397136,10.70406097372093,11.204730669241494,120.921875,50.44524523202771,29.914834658476305,8.0,12.0,24.0,287.0,704.0,39.409523809523805,1182.0,1211.0,112.0,499.0,198.0,34.34015510803495,18.151011133598885,2.363434566237929,1.9632576082400983,-5.27
86.0,98.0,6.416666666666666,3.7222222222222223,222.0,8.058550648063802,8.288632535927306,7.666666666666668,17.26206058627047,18.825009415113584,13.08460103128281,13.621600541389572,132.28125,62.84675901904435,38.84596114923647,18.0,26.0,31.0,580.0,1947.0,49.91706349206349,2356.0,2380.0,144.0,676.0,260.0,41.76705678086548,20.946550142322973,2.3415731371795063,1.6921962173509817,-3.38
