,M1,M2,mM1,mM2,F,R,SCI,H,GA,AG,ABC,ABS,AZI,SO,SO_red,Alb,Sigma,redM1,W,WW,HR,Schultz,Gutman,Mostar,Sz,PI,EE,Energy,SpecRad,Balaban_J
HR,0.9825530652698714,0.9733356089491715,0.8712769803774739,0.9779998247131201,0.9701362459478722,0.9831129742412359,0.9815788013671106,0.9778201902253307,0.9795354620257872,0.9861873232946569,0.9855564331702101,0.983499632355839,0.966681962642451,0.9828087406023014,0.975092414942316,0.8071608218127937,0.6219760197933735,0.9679649737774557,0.8536436904231949,0.7220375269965277,1.0,0.8640909436475439,0.8724121742328164,0.9552605736625284,0.8637523574299031,0.9762422257928806,0.986316357142004,0.9791211336568391,0.3693457476569176,-0.5430550194731024
Schultz,0.7902589235682805,0.7650468933531794,0.7353242840335564,0.8273161918305633,0.7645733765139958,0.8204665586284983,0.8126093823740382,0.8163525122652245,0.8035266498099379,0.8090004726596483,0.8110462838787096,0.8018276064806483,0.7736345823250632,0.7907908214443545,0.7755622146923447,0.6671277469890549,0.5014394963377925,0.7588287285848648,0.9989722595706942,0.9688699851231034,0.8640909436475439,1.0,0.9989048308358943,0.9459705623394487,0.9941057067442222,0.9466693886763439,0.8092860096651853,0.8101236690914067,0.12429883312168546,-0.42744279651004635
Gutman,0.804198502493343,0.7804250084140464,0.7280935235629417,0.8360983678661018,0.7770492028170317,0.8320539158846089,0.825894454765804,0.8292027520864824,0.8181513619628987,0.8214332821722194,0.823518035019932,0.8157135055992843,0.7907511401179546,0.8039789837337232,0.7875996757700597,0.6659729615737477,0.4937145743127411,0.7714413684651186,0.9957605355007719,0.9610099379940564,0.8724121742328164,0.9989048308358943,1.0,0.9465638502729087,0.9934105451692467,0.9533430279828965,0.8218311331587456,0.8238609510551812,0.13437455020010408,-0.45616400693759696
Mostar,0.8915389498842335,0.8750261436291334,0.8360198808241471,0.9131188167464752,0.876188950932042,0.9079653695557933,0.9010713098449462,0.9013819608910297,0.8941388737775875,0.9032399394267075,0.9034236716171123,0.8964599511168336,0.8733221898289325,0.8928159277983185,0.8835129630729557,0.7480869546445875,0.5840140198196654,0.8723657910534608,0.943121267555147,0.8584324929466702,0.9552605736625284,0.9459705623394487,0.9465638502729087,1.0,0.9399446844591598,0.9814185531830913,0.9038445601647624,0.8981305177405926,0.26640001128322544,-0.411109516649564
Sz,0.7898405831910897,0.7684060531685154,0.7263809656602916,0.8187262367807122,0.7663018274238149,0.81416097719026,0.8078198949032097,0.8102036768743189,0.8004049166342827,0.8053248222974423,0.8069317853258584,0.7994652191036008,0.7742507591683135,0.7900972075368686,0.7763998149207891,0.6633850484505268,0.4936173930686735,0.761778890417505,0.9927192372283576,0.962700610805908,0.8637523574299031,0.9941057067442222,0.9934105451692467,0.9399446844591598,1.0,0.9468996375287347,0.80523691086813,0.8058292703195862,0.14426035117441446,-0.4272644669820371
PI,0.9363911317147386,0.9206495709300421,0.82486851263344,0.9468747815264822,0.9150778660111415,0.949208669933732,0.9464097411544504,0.945858030414705,0.9423353342499158,0.9459397138140399,0.9466355189780273,0.9426128055705016,0.9237774786869821,0.9358653630947082,0.9226925147734081,0.7626694790054136,0.572641790681607,0.9112371751182318,0.9378817613729898,0.8407884973926074,0.9762422257928806,0.9466693886763439,0.9533430279828965,0.9814185531830913,0.9468996375287347,1.0,0.9461446183850376,0.9446664277738421,0.2655013102406583,-0.5316996875251934
EE,0.9963896379511851,0.9861193247333598,0.847664947755433,0.9867583718218917,0.9792324298698569,0.9965701727405327,0.9975418076944048,0.9937806454272916,0.9969709576103566,0.9996859277938991,0.9995894285506479,0.9990358861279994,0.9844321940551279,0.9954858256184655,0.9844514481667772,0.8048749489903703,0.6077077717163556,0.9762838911767272,0.7947732562419467,0.648092985809033,0.986316357142004,0.8092860096651853,0.8218311331587456,0.9038445601647624,0.80523691086813,0.9461446183850376,1.0,0.9956705500293187,0.3677288136432973,-0.6286392921548971
Energy,0.9879672512061448,0.9757122728985826,0.8128873998333022,0.9898264578651155,0.9596165611333887,0.9977997722229833,0.9993640583976384,0.9989572199275244,0.9986518393400826,0.9943951141330488,0.9951134093700463,0.995000961934385,0.9893003986190098,0.9847174252447459,0.9661149173128094,0.7576369591619061,0.5441689491395445,0.9557824298151395,0.7944844523319795,0.6491375853154956,0.9791211336568391,0.8101236690914067,0.8238609510551812,0.8981305177405926,0.8058292703195862,0.9446664277738421,0.9956705500293187,1.0,0.332920551752023,-0.6575519131104882
SpecRad,0.4238577642181102,0.48785815704431557,0.27815058568293,0.27613564124887585,0.4793594238731427,0.31524887021044373,0.3368582533336817,0.3101993464036817,0.3621253836975884,0.3673245786132636,0.3577917289615366,0.38348148867428644,0.42542293965108496,0.4234917836693723,0.4559873321001371,0.29193011198485497,0.26931076707350793,0.4940183940482953,0.11373134792738047,0.04074406464551553,0.3693457476569176,0.12429883312168546,0.13437455020010408,0.26640001128322544,0.14426035117441446,0.2655013102406583,0.3677288136432973,0.332920551752023,1.0,-0.19354671946062837
Balaban_J,-0.6347508743436153,-0.6350916600210091,-0.21501653433237322,-0.5802777608464368,-0.579230786411686,-0.6256051282051341,-0.6508796914511922,-0.6488466280689321,-0.6675456225926736,-0.6267080569149739,-0.6307657239084891,-0.6485870335865495,-0.6837248123743006,-0.6204019875628263,-0.5832072305137186,-0.30304778746913036,-0.07487141706431608,-0.5769699973822151,-0.39821032315845706,-0.3033215236093583,-0.5430550194731024,-0.42744279651004635,-0.45616400693759696,-0.411109516649564,-0.4272644669820371,-0.5316996875251934,-0.6286392921548971,-0.6575519131104882,-0.19354671946062837,1.0
