M1,M2,mM1,mM2,F,R,SCI,H,GA,AG,ABC,ABS,AZI,SO,SO_red,Alb,Sigma,redM1,W,WW,HR,Schultz,Gutman,Mostar,Sz,PI,EE,Energy,SpecRad,Balaban_J,logD
180.0,224.0,8.124999999999996,6.0902777777777795,502.0,14.427584477464231,15.572493111884802,13.93571428571429,33.91168754981379,36.25285638551531,24.907388848933902,27.11932988526973,293.4605740740741,130.81149149165066,83.22096075113954,32.0,54.0,70.0,2219.0,8152.0,127.43214285714286,10059.0,11372.0,627.0,3559.0,1045.0,81.02318012733363,39.98785528640003,2.6105339939205434,1.257819179409641,2.6
180.0,209.0,11.423611111111109,7.2777777777777795,476.0,16.20252850384656,16.9024431403638,15.519047619047624,35.62414567800298,38.59563765709343,26.744506156021288,28.155845225562576,284.62261111111115,131.35405256215662,81.48219186842968,34.0,58.0,66.0,4266.0,25021.0,135.30269174410043,18224.0,19434.0,674.0,6365.0,1272.0,85.00721758105489,43.02654766819744,2.38598745347451,1.15933301098697,3.3
136.0,172.0,8.152777777777779,4.75,394.0,10.859844450845582,11.525235299355806,10.309523809523812,24.88103474586676,27.29183965230204,18.66302438443533,20.158814084273363,216.33361574074075,99.56335690579414,64.77743986592196,28.0,50.0,55.0,1052.0,3379.0,88.55761183261183,4524.0,4833.0,288.0,2117.0,594.0,60.04233400985767,29.528118959638004,2.618252200712491,1.603046386308794,3.94
164.0,187.0,11.812499999999996,6.916666666666668,434.0,15.130048858775128,15.599767658900022,14.385714285714291,32.53057928756087,35.70909674315335,24.773015726722708,25.790155306151892,252.6069861111111,120.23415985953156,74.7674152263108,34.0,60.0,60.0,3649.0,20602.0,122.48928604075662,15160.0,15720.0,620.0,5100.0,1104.0,78.62083273931083,40.12425801260345,2.3930204654741676,1.337386621665455,2.34
124.0,141.0,6.916666666666666,5.722222222222222,300.0,12.25835149307306,12.707623591616809,12.033333333333337,26.546181107839026,27.483430150234618,19.120392662738197,20.05827472423638,218.15625,89.04006484040049,51.867873580720584,16.0,18.0,41.0,1798.0,8355.0,86.19692252192252,7617.0,8057.0,347.0,2696.0,684.0,61.362992143673615,33.10964092317439,2.3302957412432472,1.342705406383009,2.57
120.0,142.0,7.6388888888888875,5.083333333333332,308.0,11.075387400469408,11.527198506782844,10.700000000000001,24.30246879204392,25.783767962794265,17.872588041509122,18.873927432550246,201.84375,86.74835484032447,52.75860150508711,16.0,24.0,43.0,1246.0,4711.0,80.81136363636364,5241.0,5494.0,317.0,1733.0,544.0,57.35464281283376,29.877566646854966,2.5017715504261364,1.5498715217417791,3.62
180.0,215.0,9.583333333333332,7.111111111111112,464.0,15.991203638441375,16.907582752246288,15.533333333333339,36.100427763176626,37.98997522439083,26.317429301227794,28.14349748707934,301.234375,129.87493540682988,79.36192196720428,26.0,34.0,65.0,3369.0,16160.0,137.5627991289756,14742.0,16102.0,698.0,5654.0,1264.0,84.04983470222436,43.659141782326415,2.481049376549001,1.1934905925082526,2.06
216.0,268.0,10.027777777777775,7.750000000000003,572.0,17.974366886035767,19.343251395565517,17.500000000000004,42.060019557403166,44.03121667671014,30.35786941574767,33.06806694901439,366.1875,155.4708142686081,96.56197998356168,28.0,36.0,81.0,3864.0,15922.0,172.80765623265626,17454.0,19675.0,970.0,5817.0,1581.0,99.9587558777404,49.727246812700216,2.601431849228377,1.1848416901829673,4.33
176.0,208.0,8.361111111111109,7.361111111111113,440.0,16.229009285911417,17.12639280123378,15.966666666666672,36.44112781965608,37.574976319072086,26.001190445822722,27.825774616081706,309.5625,126.22067088640021,75.23512606533792,24.0,24.0,61.0,3817.0,21092.0,131.5378867864162,16889.0,18662.0,651.0,6028.0,1261.0,83.61574133683169,44.55256951198399,2.4396285748755666,1.034451119387511,2.55
248.0,299.0,16.229166666666664,10.583333333333334,654.0,22.62659652788697,23.475769263189026,21.838095238095235,49.50580631299067,52.64402382837179,36.23160449464475,38.434866921803824,422.413625,179.59965346886008,110.61892919020734,40.0,56.0,91.0,8542.0,48165.0,228.1922200348671,36117.0,38123.0,1701.0,12340.0,2518.0,117.2854213190482,61.24707240123836,2.4943355097125517,1.2625669364719336,2.78
96.0,115.0,5.166666666666667,3.972222222222222,244.0,8.770856947829097,9.224523025319064,8.566666666666666,19.610826190248506,20.433125433716448,14.158714650613907,15.09402395076646,167.703125,68.97005628194044,41.45803842534134,10.0,14.0,34.0,560.0,1576.0,59.037301587301585,2408.0,2580.0,188.0,1086.0,360.0,45.42979146036015,23.69935188731101,2.466302631283084,1.7209149453799464,1.4
124.0,146.0,9.729166666666666,5.6805555555555545,328.0,11.891588528501451,12.094706267919062,11.357142857142858,25.00717090568741,27.123055946099154,18.775406209801613,19.464537570974354,204.50324999999998,90.41468379028409,55.5440476849095,22.0,36.0,45.0,1372.0,4528.0,93.59246031746032,5430.0,5338.0,476.0,1768.0,638.0,60.56414568055181,31.040346666261758,2.4952922226095464,2.244878850988125,-0.54
88.0,100.0,6.055555555555555,4.138888888888888,218.0,8.702708600407233,8.918769209616976,8.433333333333334,18.493022923170383,19.555647783975243,13.572928212987003,14.13146092252426,149.53125,63.638001774981966,37.85253385885596,14.0,18.0,30.0,659.0,2209.0,54.58019480519481,2670.0,2688.0,178.0,867.0,312.0,43.758967668829015,22.73268546805933,2.3805718351918683,1.7791914263569766,2.91
146.0,170.0,13.013888888888886,5.98611111111111,418.0,12.863227755699915,13.082724600026769,11.904761904761907,27.127165306656167,31.217055700836912,21.453269394647236,22.211732409026816,210.56235185185187,108.65577245387061,70.8761956098252,38.0,78.0,58.0,2003.0,7781.0,108.69087301587302,7828.0,7597.0,526.0,2959.0,800.0,68.45732218556819,33.30505509248525,2.463664565504377,2.15456494594154,-0.4
122.0,140.0,10.090277777777777,5.25,332.0,11.218563918452732,11.441049950589857,10.552380952380954,23.70838343979215,26.511952745755654,18.29966489630261,18.958988323201368,185.23198611111115,89.96648530055819,56.93022108931952,28.0,52.0,46.0,1294.0,4437.0,86.58412698412698,5084.0,4957.0,388.0,1930.0,588.0,58.4461470235164,29.107341599260216,2.445525017662358,2.127167753714891,-0.16
164.0,196.0,9.97222222222222,6.944444444444445,422.0,15.011570350697118,15.667856099625626,14.56666666666667,33.16042864832978,34.915353577251906,24.086719157926975,25.627684343415986,281.859375,118.3168369012407,72.06135888745851,24.0,30.0,59.0,2648.0,11213.0,127.95804612054611,11104.0,11588.0,638.0,4682.0,1096.0,77.69484826294968,40.25841929575766,2.5296623293141764,1.483447013466605,2.2
98.0,114.0,4.805555555555555,4.25,240.0,9.343336592900531,9.802453635391254,9.200000000000001,20.70439258069061,21.31966634765651,14.837311861099039,15.717330908580522,173.546875,70.19045404795385,41.10174725559473,10.0,12.0,33.0,716.0,2305.0,61.39960317460318,3093.0,3333.0,221.0,1228.0,400.0,47.47403711619062,25.50543014882516,2.3886873669968613,1.54612099131146,3.4
120.0,145.0,8.611111111111109,4.694444444444444,324.0,10.37991785310972,10.829873988246623,9.833333333333336,22.994111393839344,25.134410491872085,17.343820745285047,18.411190227214746,187.984375,87.55609065023138,55.57388321059433,22.0,34.0,46.0,995.0,3282.0,79.2357142857143,4112.0,4216.0,252.0,1974.0,528.0,55.422492200071034,27.43208342516701,2.507414212807529,1.7303330607990317,1.1
172.0,199.0,9.499999999999996,7.666666666666667,422.0,16.631030293135236,17.316052888782675,16.300000000000004,36.35562697671256,37.71155032905364,26.248479616006502,27.629168359008546,302.46875,123.46412640472782,72.43079547644415,18.0,24.0,58.0,4911.0,33211.0,128.4044090927992,21278.0,23034.0,676.0,6223.0,1266.0,84.16397693399678,44.381824507658166,2.4675073641511522,0.9752433104695242,2.28
100.0,119.0,5.416666666666666,4.277777777777778,252.0,9.292024997884274,9.735265790544702,9.1,20.626997519385945,21.40094724559599,14.796871746579157,15.764454084379715,176.9375,71.78943261379834,42.92360167072144,12.0,14.0,35.0,684.0,2083.0,62.44960317460317,2916.0,3094.0,220.0,1053.0,378.0,47.79922348840675,25.168182211921508,2.457592907531884,1.6369334146016457,3.47
184.0,211.0,11.22222222222222,7.944444444444445,462.0,17.385050488558726,18.077265071854615,16.83333333333334,37.926044961187614,40.1859172150894,27.962353006901708,29.36452142633876,302.4375,133.17724780606073,80.17720367271144,30.0,40.0,64.0,4488.0,22978.0,148.09027361527362,18962.0,19999.0,922.0,6571.0,1458.0,89.0376895533547,46.32238614307627,2.3684554906225768,1.3068604216261588,3.0
76.0,88.0,5.305555555555555,3.3333333333333335,194.0,7.181540550352056,7.4080264443913375,6.9,15.476851594032945,16.5878259720957,11.520557554648656,12.046817226537915,124.296875,55.16177119363169,33.5585434887297,12.0,18.0,27.0,369.0,1018.0,42.95714285714286,1500.0,1507.0,122.0,518.0,210.0,36.92074648631062,19.0784727529002,2.4063485699834746,1.874660505641169,-1.17
150.0,177.0,8.611111111111109,6.055555555555557,386.0,13.50804039084698,14.196658980318647,13.066666666666672,30.140835968950082,31.948733772071513,22.15566884314828,23.547097424367834,246.453125,108.52169723217096,66.40450463796614,24.0,32.0,54.0,2149.0,9100.0,107.1474580974581,9203.0,9815.0,479.0,2807.0,805.0,70.78011463863308,36.104834900034085,2.4755611933634905,1.3435619286841325,1.95
174.0,208.0,11.534722222222221,6.861111111111111,472.0,15.184890413641519,15.862897494445141,14.485714285714291,33.62756702824522,36.594435650394274,25.208972250088557,26.737574886251295,278.79448611111115,127.0161074003837,80.01662862304961,32.0,56.0,66.0,2780.0,11267.0,135.19893994893997,11538.0,11903.0,704.0,4058.0,1090.0,80.79615660325102,40.29543005606396,2.5375282185828185,1.5473440569552317,-0.99
166.0,195.0,12.874999999999998,6.513888888888889,468.0,14.397702598310563,14.860836216800964,13.471428571428577,31.164152162187374,35.17701625521675,24.24125640487354,25.34679573356604,245.95297685185193,122.75317781319264,79.18333139919044,38.0,78.0,65.0,2573.0,10284.0,127.63156288156287,10479.0,10617.0,693.0,3072.0,974.0,77.20549728477994,37.32426035178412,2.5129774402705434,1.7864765826475442,2.0
96.0,108.0,4.194444444444445,4.249999999999999,228.0,9.398979485566358,9.866563145999498,9.300000000000002,20.75755076535926,21.247448713915894,14.849242404917504,15.659121061576728,168.0,68.72245942828357,39.56073779135532,12.0,12.0,31.0,809.0,3009.0,58.739033189033194,3516.0,3816.0,194.0,1179.0,382.0,47.313835629051304,25.403136767176665,2.3229805970877098,1.3664165789195342,3.8
154.0,178.0,7.888888888888887,6.75,378.0,14.724677988261847,15.404726264080505,14.466666666666672,32.465364696292106,33.565913054873235,23.322593235337596,24.68026476331658,269.546875,110.53333775412194,65.05478617783902,20.0,22.0,52.0,2927.0,15226.0,113.8830379372949,12530.0,13359.0,508.0,4889.0,1030.0,74.72188816121454,39.82582019892057,2.412486023331148,1.1949468325057744,3.21
126.0,146.0,10.340277777777775,5.625,340.0,11.779224090232555,11.979434914743386,11.152380952380955,24.794001522956272,27.383273089315296,18.847853054891267,19.578238504077234,198.86161574074077,92.55158360743994,58.0924987494879,28.0,48.0,47.0,1542.0,5941.0,90.20687645687646,6117.0,6033.0,421.0,1847.0,613.0,60.8327682795948,30.70315899426699,2.4455880494935025,1.9902755778224555,0.36
140.0,164.0,7.499999999999998,5.583333333333333,358.0,12.580520035918413,13.274589590390837,12.200000000000005,28.234402359392195,29.835274686011584,20.712945710073765,22.049084038622247,228.296875,101.25681362394575,61.80557278110024,24.0,30.0,50.0,1811.0,7748.0,96.04452214452215,7830.0,8434.0,396.0,2859.0,754.0,65.89913055471433,33.81005944472338,2.463881173069371,1.292278947885399,2.14
120.0,138.0,6.666666666666666,5.500000000000001,292.0,11.775188245478667,12.221444691080753,11.566666666666668,25.586589313612485,26.442188697915302,18.372845767031773,19.325577966681138,213.546875,86.0716029765918,50.22416475046718,14.0,16.0,40.0,1461.0,5872.0,83.77811355311356,6180.0,6524.0,356.0,2234.0,632.0,59.095117779604216,31.51899289284239,2.4111095095343487,1.4812988064104065,1.71
136.0,164.0,6.729166666666666,5.444444444444445,356.0,12.175688491873755,12.855918450991002,11.890476190476193,27.392806124976055,28.683238165540672,19.842029510586585,21.199890638304574,234.60799537037036,98.07891052593506,59.62003230486654,20.0,28.0,49.0,1398.0,4803.0,95.31865079365079,6120.0,6686.0,476.0,2218.0,726.0,63.610102628507796,33.77281354862433,2.4911444628295536,1.4924275489443481,1.19
106.0,120.0,8.118055555555555,4.569444444444445,284.0,9.881847280265067,10.113810604436493,9.352380952380955,20.948791645565603,23.220711293436334,16.100306159184843,16.655565027732667,160.08036574074072,78.03991797676619,48.79193566974213,24.0,44.0,39.0,1037.0,3937.0,68.03867243867245,4225.0,4293.0,265.0,1265.0,429.0,51.244193538179005,26.004448552308077,2.3748047909606917,1.73198715548513,2.7
146.0,172.0,10.72222222222222,6.111111111111108,384.0,13.273764703227073,13.72430117924654,12.633333333333336,28.819728591850318,31.33035248257065,21.69585123214551,22.788810690443896,231.359375,106.41475223556631,66.28865985271317,26.0,40.0,54.0,2221.0,9951.0,106.16611444111444,9128.0,9339.0,464.0,3257.0,823.0,69.39837607732557,35.21175825936406,2.458843940326819,1.5255035594824682,2.77
98.0,114.0,4.805555555555555,4.305555555555555,240.0,9.364504642955708,9.813196400616892,9.233333333333334,20.720563909828048,21.287488159536053,14.76836217587774,15.680654261007227,174.78125,70.18140325506555,41.15309693860172,12.0,12.0,33.0,745.0,2533.0,60.695274170274175,3194.0,3412.0,202.0,1158.0,382.0,47.557931509185515,25.695042767046484,2.392384660297323,1.5007461179411858,3.8
76.0,84.0,4.333333333333334,3.6944444444444446,178.0,7.860173345306137,8.091529863463611,7.733333333333334,16.74480078646407,17.2784248953372,12.08976496539261,12.535144408242104,134.765625,54.49407012278731,30.97275705110279,8.0,10.0,24.0,496.0,1612.0,45.049206349206344,2072.0,2161.0,144.0,730.0,260.0,38.66426469689969,21.313563813204468,2.2474662978551825,1.6331955838170882,2.87
154.0,180.0,11.22222222222222,6.666666666666668,400.0,14.29493275328225,14.735043944472178,13.66666666666667,30.835899920987753,33.298174294450185,23.0411151092973,24.1663476052437,248.59375,112.0625556921704,69.16843666046634,28.0,40.0,56.0,2440.0,10008.0,119.78607226107226,9912.0,10012.0,600.0,3882.0,972.0,73.87152849897934,37.39368161864224,2.48615118670605,1.7217947333413426,1.91
152.0,188.0,9.152777777777777,5.8263888888888875,426.0,12.888596097739256,13.533169312038668,12.33571428571429,28.86824994860017,31.24057486919367,21.41353850321198,22.95602027458684,245.06821296296295,110.96831782145483,70.80610449240739,32.0,50.0,59.0,1711.0,6276.0,108.42819680319681,7174.0,7460.0,470.0,2618.0,777.0,69.25755915449803,34.659468127354174,2.6781218569159257,1.5766883590269276,3.4
156.0,182.0,8.499999999999998,6.694444444444446,390.0,14.635361590784806,15.312974554544368,14.300000000000004,32.33139010007655,33.720613593252494,23.39154292055889,24.789654563057756,268.3125,112.28140185191722,67.054786177839,22.0,26.0,54.0,2728.0,12822.0,115.88298645798645,11706.0,12536.0,556.0,4204.0,998.0,75.02782531204406,39.473110178294164,2.445826684911376,1.284428794993243,3.13
98.0,113.0,4.805555555555555,4.222222222222222,240.0,9.326499840494924,9.788632535927308,9.16666666666667,20.663984374917153,21.360907799975827,14.87775197561892,15.742920884949214,170.15625,70.33048878701636,41.33124252347503,12.0,14.0,33.0,774.0,2758.0,60.0929292929293,3353.0,3625.0,191.0,1358.0,400.0,47.46397131407742,25.375181861210454,2.3868491532599023,1.4263029745755342,3.0
52.0,61.0,2.8333333333333335,2.2222222222222223,130.0,4.877010097711745,5.105350962927558,4.7666666666666675,10.785208992237523,11.237183443017882,7.806684163753442,8.266913744754124,90.15625,37.383472635247664,22.257980408983922,6.0,8.0,18.0,105.0,198.0,24.25,445.0,468.0,37.0,185.0,85.0,25.08371763477965,13.098357873904222,2.3698375056289707,2.028565677264321,2.33
